feature	score	avg I	avg O
snp_PA14_03050,pobA_269800	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28895_2499616	47.3351472471	0.5(+/-)0.5	0.04(+/-)0.2
snp_PA14_11050,moaF_955769	12.8669412703	0.5(+/-)0.5	0.13(+/-)0.34
snp_PA14_12650_1085934	0.964374169546	0.5(+/-)0.5	0.73(+/-)0.45
snp_PA14_33630,pvdJ_2972828	0.70985915493	0.0(+/-)0.0	0.05(+/-)0.22
snp_PA14_03200_282769	0.670422535211	0.0(+/-)0.0	0.05(+/-)0.21
snp_PA14_59350,pilV2_5287193	0.47323943662	0.0(+/-)0.0	0.03(+/-)0.18
snp_PA14_31100_2705167	0.169856347387	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_27500,yfbQ_2387668	0.157746478873	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_52490_4656984	0.157746478873	0.0(+/-)0.0	0.01(+/-)0.11
snp_PA14_32790_2863344	0.147948943662	0.5(+/-)0.5	0.43(+/-)0.5
snp_PA14_10400_898102	0.118309859155	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_58720_5232799	0.118309859155	0.0(+/-)0.0	0.01(+/-)0.09
gene_pa_group_13620	0.0788732394366	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_39640,cobN_3531505	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_38950_3470364	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_66400,aefA_5921196	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_09340,fptA_800518	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_58900_5247586	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_39210,nadR_3492246	0.011984085818	0.93(+/-)0.26	0.96(+/-)0.2
snp_PA14_11060,cupB1_957367	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_30650,gacA_2655555	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28895_2500021	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_32790_2860275	7.62455603184	0.5(+/-)0.5	0.17(+/-)0.38
snp_PA14_59940_5338341	2.28214285714	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_22680,yrbE_1972546	1.66119215292	0.07(+/-)0.26	0.02(+/-)0.14
snp_PA14_57540_5126397	1.14366197183	0.0(+/-)0.0	0.08(+/-)0.27
snp_PA14_73020_6502803	0.749295774648	0.0(+/-)0.0	0.05(+/-)0.23
snp_PA14_68450_6108058	0.443202434949	0.5(+/-)0.5	0.65(+/-)0.48
snp_PA14_51360,phnA_4565450	0.276056338028	0.0(+/-)0.0	0.02(+/-)0.14
snp_PA14_14170_1212705	0.23661971831	0.0(+/-)0.0	0.02(+/-)0.13
gene_pa_group_16413	0.197183098592	0.0(+/-)0.0	0.01(+/-)0.12
snp_PA14_00820_80110	0.170632165084	0.5(+/-)0.5	0.59(+/-)0.49
snp_PA14_33280,pvdL_2913245	0.118309859155	0.0(+/-)0.0	0.01(+/-)0.09
genexp_PA14_26550	0.0864105370905	5.89(+/-)0.4	6.08(+/-)0.49
snp_PA14_22060_1918791	0.0788732394366	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_44510_3964142	0.0788732394366	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_67020_5982809	0.0788732394366	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_58260_5188888	0.0788732394366	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_61180_5456476	0.0788732394366	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_34130_3036049	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_46710_4163337	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_70270,algC_6264243	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_67560,typA_6035490	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_20050,hasF_1729318	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_30860,trbG_2679912	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_04630,ilvD_410975	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_56680,feoB_5050031	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_02990_262285	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_14310_1221243	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_69950_6241264	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_55400_4928068	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_68440_6105340	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_03800,oprE_341750	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_63830_5689861	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_20470_1759222	0.0394366197183	0.0(+/-)0.0	0.0(+/-)0.05
