feature	score	std	#I-out-of-135	#O-out-of-277
geneexp##PA14_15470,merP	0.01284709519	0.058203156319	  (0, 0)	592.17199503	  (0, 0)	394.764325556
geneexp##PA14_15435	0.0120519772934	0.0552472397527	  (0, 0)	610.37945447	  (0, 0)	290.457618576
geneexp##PA14_15410	0.010263039167	0.0476446416902	  (0, 0)	413.718953677	  (0, 0)	303.050206311
geneexp##PA14_15420	0.0098597991175	0.0478886071329	  (0, 0)	424.885112882	  (0, 0)	243.683841251
geneexp##PA14_15475,merT	0.00850189903494	0.0453047306806	  (0, 0)	652.392042728	  (0, 0)	513.731974745
geneexp##PA14_15450,merD	0.00801262338525	0.0405820003645	  (0, 0)	440.664988814	  (0, 0)	221.019197624
geneexp##PA14_15430,tnpR	0.00763355187174	0.0371568541907	  (0, 0)	556.598051878	  (0, 0)	454.567865794
geneexp##PA14_15445,merE	0.00753319414459	0.0409192245146	  (0, 0)	348.647553441	  (0, 0)	178.773460193
geneexp##PA14_15480,merR	0.00722389086787	0.0367128558358	  (0, 0)	699.655844993	  (0, 0)	696.551054478
geneexp##PA14_15460,merA	0.00626824111275	0.034918419127	  (0, 0)	688.457605984	  (0, 0)	655.481396974
geneexp##PA14_14420	0.00623060632443	0.0356177288707	  (0, 0)	94.6907021094	  (0, 0)	597.796827975
geneexp##PA14_38410,amrB	0.00607245459873	0.031566778215	  (0, 0)	951.448505749	  (0, 0)	1578.76324282
geneexp##PA14_31190	0.00596129629217	0.0350943988083	  (0, 0)	549.217772073	  (0, 0)	555.151802664
geneexp##PA14_07950,prtN	0.00559738122731	0.0333263453841	  (0, 0)	828.823150591	  (0, 0)	1474.58252178
geneexp##PA14_27990	0.00548898632655	0.0329246212542	  (0, 0)	178.683906866	  (0, 0)	1234.87730665
geneexp##PA14_22270	0.0052405325724	0.0329282517107	  (0, 0)	447.430554612	  (0, 0)	168.201968184
geneexp##PA14_38395	0.00517078592587	0.0279553542168	  (0, 0)	817.976802718	  (0, 0)	1296.72875538
geneexp##PA14_67190	0.00501083385179	0.0280256195282	  (0, 0)	651.098880428	  (0, 0)	1467.6531291
geneexp##PA14_14430	0.00485639173233	0.0308634242658	  (0, 0)	131.585887104	  (0, 0)	786.009847362
geneexp##PA14_22080	0.0047228409646	0.0316716122034	  (0, 0)	362.338922264	  (0, 0)	113.235704709
geneexp##PA14_22090	0.00462955741945	0.0332181920022	  (0, 0)	299.662263989	  (0, 0)	91.5782047346
geneexp##PA14_22210	0.00457268525827	0.0310619330751	  (0, 0)	252.781003015	  (0, 0)	60.5245512035
geneexp##PA14_22140	0.0044456181718	0.0334806177364	  (0, 0)	279.086451096	  (0, 0)	81.9553900142
geneexp##PA14_22180	0.00414540984961	0.0292623982504	  (0, 0)	195.101368525	  (0, 0)	49.4911281999
geneexp##PA14_22160	0.00413847998994	0.0308126441895	  (0, 0)	179.348849235	  (0, 0)	53.7556586918
geneexp##PA14_22240	0.003925585152	0.0299222199164	  (0, 0)	253.521565556	  (0, 0)	73.2170031257
geneexp##PA14_38380,amrR	0.00357653024751	0.021300351706	  (0, 0)	815.441351276	  (0, 0)	1458.36699242
geneexp##PA14_22260	0.00356563730613	0.0263544907398	  (0, 0)	217.149179435	  (0, 0)	58.8291683471
geneexp##PA14_30850,trbI	0.00351021316308	0.0233356802035	  (0, 0)	531.044499645	  (0, 0)	595.604278721
geneexp##PA14_22230	0.00333479819485	0.0283566430563	  (0, 0)	275.943643965	  (0, 0)	66.4563851185
geneexp##PA14_08250	0.00325709696431	0.0248522203104	  (0, 0)	122.067468871	  (0, 0)	777.18117041
geneexp##PA14_51630	0.00317058846771	0.022785092871	  (0, 0)	725.448307225	  (0, 0)	1163.74167294
geneexp##PA14_10130	0.00311263733851	0.0248227530319	  (0, 0)	254.774990193	  (0, 0)	907.377149192
geneexp##PA14_36000,prpR	0.00299628253038	0.0211647986475	  (0, 0)	712.184874947	  (0, 0)	1070.47876571
geneexp##PA14_22250	0.00296280491704	0.0240724821567	  (0, 0)	247.592022295	  (0, 0)	64.6233307158
geneexp##PA14_01130	0.00292688810979	0.025616450973	  (0, 0)	402.083729487	  (0, 0)	388.392066912
geneexp##PA14_22220	0.00288706221423	0.0238026541031	  (0, 0)	256.263988637	  (0, 0)	61.5340745336
geneexp##PA14_41280	0.00287386891414	0.0222732828394	  (0, 0)	806.164226398	  (0, 0)	1278.73280204
geneexp##PA14_22190	0.00278653912272	0.0217572916009	  (0, 0)	320.759206394	  (0, 0)	94.6593022318
geneexp##PA14_22100	0.00275431649652	0.021984057108	  (0, 0)	257.526649895	  (0, 0)	63.9510807688
geneexp##PA14_33120	0.00273144847296	0.0213241292813	  (0, 0)	645.033921749	  (0, 0)	1460.02367802
geneexp##PA14_22120	0.0027007003922	0.0240862461024	  (0, 0)	332.731338585	  (0, 0)	109.084151178
geneexp##PA14_15080	0.00264566663509	0.02171590091	  (0, 0)	706.258672514	  (0, 0)	1608.84453201
geneexp##PA14_49520,pyoS3A	0.00259447435746	0.0217518915722	  (0, 0)	775.242357934	  (0, 0)	1178.52977478
