feature	score	std	#I-out-of-135	#O-out-of-277
genePA##,,group_2233	0.00489346729859	0.0410277641499	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_1510	0.00455687462505	0.0405567587944	  (0, 0)	1.64537217694	  (0, 0)	0.195857662023
genePA##,,group_11708	0.00441717388362	0.0366149983945	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_11732	0.00437195337182	0.040254569758	  (0, 0)	1.61577307588	  (0, 0)	0.0682062573532
genePA##,,group_9984	0.00391951289626	0.0362109111001	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,dbpA_2	0.00389493514009	0.0337124734631	  (0, 0)	1.50989835159	  (0, 0)	0.156695559954
genePA##,,group_13813	0.00379280303305	0.0345654046995	  (0, 0)	1.55179203877	  (0, 0)	0.127823676433
genePA##,,group_642	0.00367417783675	0.0359694381898	  (0, 0)	1.66042271711	  (0, 0)	0.105333561146
genePA##,,group_7170	0.00353192041145	0.0332069130798	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_1377	0.00345414797213	0.0336450053445	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_2501	0.00344822940031	0.0325798955079	  (0, 0)	1.64537217694	  (0, 0)	0.193609598554
genePA##,,group_16670	0.0033596922636	0.032677912794	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_7165	0.00327561232848	0.0307617664436	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_3756	0.00324745851291	0.0314199064288	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_6204	0.00322565780871	0.0337035952891	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_11703	0.0032206695906	0.0325454829365	  (0, 0)	1.56081032831	  (0, 0)	0.106199810402
genePA##,,group_11701	0.00312816109403	0.0313695819992	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_895	0.00306292455706	0.0299936812683	  (0, 0)	1.64211833144	  (0, 0)	0.231984230964
genePA##,,group_16673	0.00302278854659	0.0295125568009	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_196	0.00296773832011	0.0285750504097	  (0, 0)	1.52596293943	  (0, 0)	0.110849593476
genePA##,,group_11711	0.00279608724358	0.029379108192	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,hcaR_4	0.00275946473436	0.0295922403719	  (0, 0)	1.48933440547	  (0, 0)	0.0975981881312
genePA##,,group_4170	0.00261834163794	0.0261028598915	  (0, 0)	1.6357404132	  (0, 0)	0.194359653881
genePA##,,group_11709	0.00255265641915	0.0255736173675	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,topB_1	0.00254168919698	0.0286989248761	  (0, 0)	1.56081032831	  (0, 0)	0.106199810402
genePA##PA14_51120,,acrC_3	0.00252760685648	0.0263346393508	  (0, 0)	0.568298518373	  (0, 0)	2.58302660936
genePA##,,group_4175	0.00247697399096	0.030845204796	  (0, 0)	1.65174644854	  (0, 0)	0.175929435234
genePA##,,group_4189	0.00245367257401	0.026139337516	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_21830	0.00245156646185	0.0253800429124	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_21870	0.00242572516485	0.0264082775557	  (0, 0)	1.50989835159	  (0, 0)	0.156695559954
genePA##,,hin_2	0.002359655238	0.0242813204208	  (0, 0)	1.4039944079	  (0, 0)	0.230490750067
genePA##,,group_11706	0.00234907271961	0.0247645658601	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_13818	0.00234370715375	0.0289644391388	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_16710	0.00233232744494	0.0268020398209	  (0, 0)	1.48624018868	  (0, 0)	0.0707273745787
genePA##,,group_7210	0.00232147336051	0.0262977836237	  (0, 0)	1.50551751365	  (0, 0)	0.110849593476
genePA##,,group_689	0.00230839312657	0.0229723402249	  (0, 0)	1.48272997986	  (0, 0)	0.448684680418
genePA##,,group_21825	0.00228424881658	0.0273892612736	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_16647	0.00224189862496	0.0247267209139	  (0, 0)	1.47740118271	  (0, 0)	0.470184090192
genePA##,,group_13845	0.00223717783571	0.0233006065186	  (0, 0)	1.48945951966	  (0, 0)	0.0939150960679
genePA##PA14_58910,,soj_3	0.00217622853905	0.0249378446684	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_21829	0.00210305764833	0.0244312399965	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_4326	0.00207061678734	0.0250085372515	  (0, 0)	1.51930337388	  (0, 0)	0.27427095654
genePA##PA14_22470,,yhaJ_4	0.00203514530853	0.0253366595705	  (0, 0)	1.53259026114	  (0, 0)	0.106199810402
genePA##PA14_01960,,mdtE	0.00200993856757	0.0200697190778	  (0, 0)	1.46307294964	  (0, 0)	0.471879984084
genePA##,,group_579	0.00196793235314	0.021305454278	  (0, 0)	1.46961415953	  (0, 0)	0.530606425672
genePA##,,group_21936	0.00196587799462	0.0247842979653	  (0, 0)	1.48624018868	  (0, 0)	0.0707273745787
genePA##,,group_1501	0.0019614326754	0.0255155043002	  (0, 0)	1.50551751365	  (0, 0)	0.13349571566
genePA##,,group_21824	0.00193986965721	0.0233119853186	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,oprM_6	0.0019342831946	0.019675132405	  (0, 0)	1.40877511446	  (0, 0)	0.241339974725
genePA##,,group_10837	0.00192565919737	0.0216889778148	  (0, 0)	1.52692393098	  (0, 0)	0.174907490178
genePA##,,group_41853	0.00190908734527	0.0218560742103	  (0, 0)	1.44906818194	  (0, 0)	0.112499385712
genePA##,,group_11387	0.00187571358558	0.0207527329515	  (0, 0)	1.48849769057	  (0, 0)	0.270589291894
genePA##PA14_67220,,clsA	0.00185244364328	0.0198555430863	  (0, 0)	0.46408958824	  (0, 0)	2.5577681141
genePA##,,group_16717	0.00185026096879	0.0216002395152	  (0, 0)	1.36743435824	  (0, 0)	0.175674195606
genePA##,,group_21879	0.00183984687818	0.0227848701296	  (0, 0)	1.38871937177	  (0, 0)	0.118060455488
genePA##,,group_21831	0.00183611933439	0.0227924651591	  (0, 0)	1.51911629543	  (0, 0)	0.0905277004562
genePA##,,group_21935	0.00182968363327	0.021368355073	  (0, 0)	1.48624018868	  (0, 0)	0.0707273745787
genePA##,,group_13822	0.0018266879727	0.0230343790163	  (0, 0)	1.49643169629	  (0, 0)	0.136088676366
genePA##,,group_22315	0.00182390305026	0.0210803649171	  (0, 0)	1.38804304023	  (0, 0)	0.23150789545
genePA##PA14_14360,,group_9700	0.00180338800824	0.0216993917355	  (0, 0)	0.605371346513	  (0, 0)	2.49774595355
genePA##,,group_9986	0.00178323517473	0.0208111110399	  (0, 0)	1.54892019309	  (0, 0)	0.127190016748
genePA##,,group_21828	0.00176907572763	0.0229628404651	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_21871	0.00175058688433	0.0203506427026	  (0, 0)	1.50309633395	  (0, 0)	0.155989654181
genePA##,,group_21937	0.00173763457835	0.0233233325698	  (0, 0)	1.48624018868	  (0, 0)	0.0707273745787
genePA##,,fic_2	0.00172901472302	0.0197492682513	  (0, 0)	1.495515177	  (0, 0)	0.355365130429
genePA##,,rcdA_2	0.0017170165042	0.0164508997499	  (0, 0)	1.12100963992	  (0, 0)	0.0511604257551
genePA##PA14_13900,,hin	0.00166187980095	0.0202247241798	  (0, 0)	1.5610433225	  (0, 0)	0.676901060465
genePA##,,group_920	0.00165932622082	0.017718760324	  (0, 0)	1.46961415953	  (0, 0)	0.532688206245
genePA##,,group_5261	0.00164936737572	0.0180515988527	  (0, 0)	1.49492596953	  (0, 0)	0.157410815743
genePA##,,group_16709	0.00164256322238	0.0204550192945	  (0, 0)	1.47930456541	  (0, 0)	0.0908247868841
genePA##,,group_21619	0.00162731623999	0.0196639272746	  (0, 0)	1.35343055963	  (0, 0)	0.209442450568
genePA##,,ptlE	0.00161229957213	0.0200004315811	  (0, 0)	1.47740118271	  (0, 0)	0.470184090192
genePA##,,group_21404	0.00159174109399	0.0185591732846	  (0, 0)	1.35515559194	  (0, 0)	0.132574609087
genePA##,,ptlF_3	0.0015812937835	0.0184569225947	  (0, 0)	1.46688739856	  (0, 0)	0.491111965175
genePA##,,group_21939	0.00156514536083	0.0200710596246	  (0, 0)	1.34871507636	  (0, 0)	0.220952115572
genePA##,,aadB	0.00155779925772	0.0189881496579	  (0, 0)	1.25979894125	  (0, 0)	0.0489032994785
