feature	score	std	#I-out-of-234	#O-out-of-148
genePA##PA14_68420,,group_8166	0.00196698868358	0.0147905599466	  (0, 0)	1.24400044245	  (0, 0)	1.36642559234
genePA##,,group_5242	0.00169753519846	0.0120675591053	  (0, 0)	1.91490241836	  (0, 0)	0.529311517237
genePA##,,group_13790	0.00166137946686	0.0147535320195	  (0, 0)	1.79254666674	  (0, 0)	0.156172349047
genePA##PA14_22670,yrbF,mkl	0.00164816515508	0.0135802765501	  (0, 0)	1.76577902178	  (0, 0)	0.157304128154
genePA##,,group_11684	0.00151241315119	0.0123929681366	  (0, 0)	1.81041319911	  (0, 0)	0.151957943237
genePA##,,group_16649	0.00150360044628	0.0134410439139	  (0, 0)	1.76577902178	  (0, 0)	0.157304128154
genePA##,,group_11680	0.00150133815374	0.0129466282298	  (0, 0)	1.76577902178	  (0, 0)	0.157304128154
genePA##,,group_642	0.00148186607905	0.0143342334575	  (0, 0)	1.703008098	  (0, 0)	0.0437148633039
genePA##PA14_01960,,mdtE	0.00142631884586	0.0128525030973	  (0, 0)	1.77935512313	  (0, 0)	0.15673564274
genePA##,,group_881	0.00142612279137	0.0121667460409	  (0, 0)	1.79869462486	  (0, 0)	0.314216804461
genePA##,,group_920	0.00137249859667	0.0130526785357	  (0, 0)	1.78903613305	  (0, 0)	0.21435361305
genePA##,,acrR_2	0.001350057142	0.0104112736861	  (0, 0)	1.77935512313	  (0, 0)	0.15673564274
genePA##,,group_11732	0.00132882408686	0.0127625271269	  (0, 0)	1.61852656121	  (0, 0)	0.0455990750623
genePA##,,ptlG_1	0.00128961103856	0.0110541847791	  (0, 0)	1.74495474127	  (0, 0)	0.201061420063
genePA##,,group_9974	0.00125868657503	0.0115415227362	  (0, 0)	1.77532820548	  (0, 0)	0.207975658566
genePA##,,group_689	0.00123666200063	0.0103851375745	  (0, 0)	1.77581684969	  (0, 0)	0.15673564274
genePA##,,group_579	0.00122245508021	0.0117590744737	  (0, 0)	1.80375307021	  (0, 0)	0.19755489531
genePA##,,group_11763	0.00121427728823	0.0108868504867	  (0, 0)	2.01407023875	  (0, 0)	0.830634464164
genePA##,,group_5523	0.00121182543158	0.01132880885	  (0, 0)	1.64194799499	  (0, 0)	0.0772048323422
genePA##PA14_33370,,group_41809	0.00117171921693	0.00883403527154	  (0, 0)	1.95454081368	  (0, 0)	0.992732129943
genePA##,,group_21791	0.00116678835365	0.0119719242499	  (0, 0)	1.80553723056	  (0, 0)	0.138404114783
genePA##,,group_21796	0.00116241426568	0.0117550649363	  (0, 0)	1.77935512313	  (0, 0)	0.15673564274
genePA##,,group_16673	0.00115722547361	0.0119767947294	  (0, 0)	1.56555475793	  (0, 0)	0.063771628504
genePA##PA14_40240,,apxIB_1	0.00114466991587	0.00809834397238	  (0, 0)	1.58213888573	  (0, 0)	1.22057094118
genePA##,,group_2501	0.00114034437615	0.0125999413974	  (0, 0)	1.74236597328	  (0, 0)	0.0937325247252
genePA##,,group_21834	0.00113504874128	0.010631534117	  (0, 0)	1.54287673562	  (0, 0)	0.046419629804
genePA##,,group_16650	0.00113407903669	0.0103340615335	  (0, 0)	1.76577902178	  (0, 0)	0.157304128154
genePA##,,group_21793	0.00112524727647	0.010596703826	  (0, 0)	1.79901215336	  (0, 0)	0.15673564274
genePA##,,group_209	0.00110956082708	0.0119126252158	  (0, 0)	1.86362737265	  (0, 0)	0.339396757041
genePA##,,group_21795	0.00110926639939	0.0109722928063	  (0, 0)	1.79232272015	  (0, 0)	0.157877901881
genePA##,,group_16648	0.00109876744208	0.010387006599	  (0, 0)	1.73175911716	  (0, 0)	0.16102236095
genePA##,,group_196	0.00108637781491	0.0114191824254	  (0, 0)	1.57077840097	  (0, 0)	0.0460040918903
genePA##,,group_4189	0.00106211314587	0.01162295798	  (0, 0)	1.55728929936	  (0, 0)	0.0462105116602
genePA##,,group_2844	0.00106159226715	0.0096094624434	  (0, 0)	1.81848632899	  (0, 0)	0.392454492668
genePA##PA14_73110,,dctM_3	0.00105353222765	0.00869678726091	  (0, 0)	1.34332337813	  (0, 0)	1.35213438305
genePA##,,group_8167	0.00103900908165	0.00743683476296	  (0, 0)	1.91937498183	  (0, 0)	0.552873109332
genePA##,,group_21825	0.00103476490453	0.0117069760128	  (0, 0)	1.56555475793	  (0, 0)	0.063771628504
genePA##PA14_46490,fabF2,group_6476	0.00103281210806	0.00882445297314	  (0, 0)	1.40997341388	  (0, 0)	1.35010328592
genePA##,,ptlF_3	0.0010085000516	0.0104588522303	  (0, 0)	1.80406407498	  (0, 0)	0.155060963469
genePA##,,group_13822	0.0010053359023	0.0100418055245	  (0, 0)	1.53990783274	  (0, 0)	0.044629244181
genePA##,,dbpA_2	0.00098971687725	0.0103780634134	  (0, 0)	1.57384514261	  (0, 0)	0.0927487689256
genePA##,,group_11711	0.000981483534054	0.010148757008	  (0, 0)	1.56555475793	  (0, 0)	0.063771628504
