feature	score	avg I	avg O
snp_PA14_40260_3591329	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09870_848490	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28040_2427991	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58320_5193259	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_34280,metQ-l_3047941	3.60033936652	0.01(+/-)0.12	0.08(+/-)0.28
snp_PA14_01670_153017	1.56923076923	0.0(+/-)0.0	0.02(+/-)0.15
snp_PA14_35000_3116757	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_15460,merA_1309270	0.7257372445	0.34(+/-)0.47	0.27(+/-)0.44
snp_PA14_50740_4508652	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_30630,pqsH_2654151	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_16910_1450193	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_00190,fmt_20843	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38480,gnyA_3432648	1.80130228452	0.15(+/-)0.35	0.24(+/-)0.43
snp_PA14_06180,fiuI_546435	1.56923076923	0.0(+/-)0.0	0.02(+/-)0.15
snp_PA14_55470,hxcY_4938204	0.523076923077	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_46590_4148787	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55280_4909000	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_09340,fptA_800063	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_19050,metG_1646183	1.91176470588	0.01(+/-)0.12	0.0(+/-)0.0
gene_pa_group_15778	1.56923076923	0.0(+/-)0.0	0.02(+/-)0.15
gene_pa_group_21650	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_38000_3390116	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_10770_929353	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_64740,pchA_5768365	0.523076923077	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_40850,gpmA_3644982	0.22501616031	0.04(+/-)0.21	0.03(+/-)0.17
gene_pa_group_6598	0.0	1.0(+/-)0.0	1.0(+/-)0.0
snp_PA14_29560_2563207	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_49110_4362835	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_63960_5699881	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_41150_3670871	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50220,fleQ_4462212	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_23520_2047976	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_33610_2969470	9.88634732408	0.26(+/-)0.44	0.08(+/-)0.28
snp_PA14_29400,rhs_2549819	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_05390,chpA_471864	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_62590,panC_5585031	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_57340,murG_5109605	0.523076923077	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_40040_3568592	0.083665158371	0.04(+/-)0.21	0.05(+/-)0.23
snp_PA14_55980,yjgR_4997023	0.0118040527248	0.71(+/-)0.46	0.69(+/-)0.46
snp_PA14_18780,mexF_1617044	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_53570_4751264	1.99095022624	0.01(+/-)0.12	0.04(+/-)0.19
snp_PA14_09150,katA_774023	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_48910_4347831	nan	0.0(+/-)0.0	0.0(+/-)0.0
gene_pa_group_4796	7.84615384615	0.0(+/-)0.0	0.12(+/-)0.32
snp_PA14_23500,tyrB_2044588	1.91176470588	0.01(+/-)0.12	0.0(+/-)0.0
snp_PA14_37530_3340070	1.04615384615	0.0(+/-)0.0	0.02(+/-)0.12
snp_PA14_15620_1328273	1.03235294118	0.22(+/-)0.41	0.3(+/-)0.46
gene_pa_group_14589	0.456199095023	0.01(+/-)0.12	0.03(+/-)0.17
snp_PA14_19320_1666009	0.0668721274094	0.66(+/-)0.47	0.63(+/-)0.48
snp_PA14_53820_4772171	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_55650,sbcC_4960504	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_28000_2424749	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_31070_2701351	0.523076923077	0.0(+/-)0.0	0.01(+/-)0.09
gene_pa_group_1590	0.21742081448	0.01(+/-)0.12	0.01(+/-)0.09
snp_PA14_47080_4193420	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_50330_4473842	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_38780,pqqE_3459513	0.523076923077	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_55610,dnaE2_4949421	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_26850_2336485	nan	0.0(+/-)0.0	0.0(+/-)0.0
