feature	score	std	#I-out-of-234	#O-out-of-148
geneexp##PA14_38395	0.00629757433484	0.0324631618986	  (0, 0)	1315.27745467	  (0, 0)	654.923714736
geneexp##PA14_38410,amrB	0.00484478367042	0.0245874979616	  (0, 0)	1546.45186851	  (0, 0)	813.549792253
geneexp##PA14_07950,prtN	0.00469624228878	0.0242135419998	  (0, 0)	1379.29895245	  (0, 0)	764.12508533
geneexp##PA14_15435	0.00397767909592	0.0234222433701	  (0, 0)	704.063563551	  (0, 0)	149.036817054
geneexp##PA14_67190	0.00385626950193	0.0213965859065	  (0, 0)	1146.70836914	  (0, 0)	798.042023101
geneexp##PA14_15420	0.00379264297268	0.0217873697421	  (0, 0)	530.739630217	  (0, 0)	115.693945339
geneexp##PA14_15410	0.00375351875146	0.0233436510395	  (0, 0)	540.990945934	  (0, 0)	162.929365807
geneexp##PA14_41280	0.00368433323121	0.02138746243	  (0, 0)	1304.99690816	  (0, 0)	648.950741238
geneexp##PA14_15430,tnpR	0.00354431999586	0.0211980447672	  (0, 0)	763.684106065	  (0, 0)	225.443395893
geneexp##PA14_15460,merA	0.00344899271529	0.0214612087234	  (0, 0)	938.228770223	  (0, 0)	315.330814872
geneexp##PA14_38380,amrR	0.00321722606512	0.017732790839	  (0, 0)	1345.77377042	  (0, 0)	762.061130082
geneexp##PA14_15470,merP	0.00305814882131	0.0198589975958	  (0, 0)	743.61486193	  (0, 0)	199.757501224
geneexp##PA14_30850,trbI	0.00296554527813	0.0186492178417	  (0, 0)	781.392013707	  (0, 0)	293.028484244
geneexp##PA14_08010,gpV	0.0029512546261	0.0195164623069	  (0, 0)	1153.34526974	  (0, 0)	491.891822401
geneexp##PA14_34170	0.00290415296958	0.0167082253769	  (0, 0)	651.267300148	  (0, 0)	270.011572066
geneexp##PA14_15480,merR	0.00290285453488	0.0194197196015	  (0, 0)	974.412972398	  (0, 0)	331.957132607
geneexp##PA14_31190	0.00286136344799	0.0193266382567	  (0, 0)	771.7703279	  (0, 0)	279.988978817
geneexp##PA14_08070,gpFI	0.00275522625993	0.0164047800888	  (0, 0)	1485.3676661	  (0, 0)	673.483822028
geneexp##PA14_22740	0.00266665480962	0.0159680561026	  (0, 0)	1486.14045982	  (0, 0)	874.357746086
geneexp##PA14_08000	0.0026363610355	0.0178859478109	  (0, 0)	1073.14307826	  (0, 0)	461.488969221
geneexp##PA14_15475,merT	0.00261563592115	0.0191238961941	  (0, 0)	849.02631491	  (0, 0)	251.074167518
geneexp##PA14_15450,merD	0.00257983057018	0.0178325645101	  (0, 0)	525.233131016	  (0, 0)	105.958028838
geneexp##PA14_08030	0.00246817080415	0.0160237404882	  (0, 0)	1243.30480794	  (0, 0)	539.008414618
geneexp##PA14_08250	0.00235414195361	0.0165936341524	  (0, 0)	351.741879954	  (0, 0)	429.053663609
geneexp##PA14_48970	0.00234609444064	0.0153066229931	  (0, 0)	331.045447535	  (0, 0)	377.902686889
geneexp##PA14_08120	0.00233777387532	0.0165427126608	  (0, 0)	1398.01264707	  (0, 0)	627.971695687
geneexp##PA14_48960	0.00223566856174	0.0157557013436	  (0, 0)	155.893483164	  (0, 0)	218.29073463
geneexp##PA14_08150,gpD	0.00223259141432	0.0163907339515	  (0, 0)	1242.28409341	  (0, 0)	553.315634858
geneexp##PA14_08140,XR2	0.00211272474926	0.0135362796202	  (0, 0)	775.459692109	  (0, 0)	303.061907313
geneexp##PA14_08020,gpW	0.00209252761238	0.0138076234373	  (0, 0)	1008.78766147	  (0, 0)	434.929030023
geneexp##PA14_41290	0.00207758114045	0.015415316731	  (0, 0)	675.859627948	  (0, 0)	273.01394617
geneexp##PA14_08040,gpI	0.00203125237896	0.0140572788857	  (0, 0)	1167.49066835	  (0, 0)	504.863431418
geneexp##PA14_29750	0.00200705301407	0.0139444451421	  (0, 0)	728.632578343	  (0, 0)	335.675440892
geneexp##PA14_15445,merE	0.00200176119693	0.0160047355183	  (0, 0)	413.794476766	  (0, 0)	92.457276528
geneexp##PA14_48890	0.00196132035298	0.013233517406	  (0, 0)	650.705739851	  (0, 0)	561.854198499
geneexp##PA14_08060	0.00193199601673	0.013816814587	  (0, 0)	1116.5500737	  (0, 0)	514.435432914
geneexp##PA14_51880,oprD	0.00187312884556	0.0122214669098	  (0, 0)	1970.67923579	  (0, 0)	1337.30874166
geneexp##PA14_08100	0.00177981780098	0.0121859865558	  (0, 0)	1042.68125595	  (0, 0)	451.250661344
geneexp##PA14_61650,pagL	0.00175499800748	0.0106607987711	  (0, 0)	1692.52243422	  (0, 0)	996.438855319
geneexp##PA14_08130,gpU	0.00164329434945	0.0131127235286	  (0, 0)	1014.14410463	  (0, 0)	427.716028169
geneexp##PA14_08240	0.00156178675087	0.0138292492544	  (0, 0)	719.78377509	  (0, 0)	693.805868941
geneexp##PA14_08300,JF1	0.00152495412939	0.0116924296468	  (0, 0)	942.498716131	  (0, 0)	751.693502142
geneexp##PA14_36000,prpR	0.00151132650815	0.0107445126091	  (0, 0)	1129.52724299	  (0, 0)	543.946102182
geneexp##PA14_64490	0.00146436606161	0.0113580317038	  (0, 0)	1221.10956872	  (0, 0)	674.154214828
geneexp##PA14_07460	0.00146118154418	0.0122573482706	  (0, 0)	909.315746103	  (0, 0)	482.782533502
geneexp##PA14_08230	0.00139381215408	0.0121283170529	  (0, 0)	480.623989531	  (0, 0)	462.626164727
geneexp##PA14_08270	0.00136597637665	0.0120907365985	  (0, 0)	698.970500651	  (0, 0)	619.523689695
geneexp##PA14_08110	0.00136181242564	0.01090968661	  (0, 0)	901.607185408	  (0, 0)	379.990824849
geneexp##PA14_04650,pfpI	0.00136159759072	0.0110667216811	  (0, 0)	1465.22070561	  (0, 0)	834.647799807
geneexp##PA14_08090,gpFII	0.00135339468255	0.0111339412011	  (0, 0)	1226.06289588	  (0, 0)	528.71664936
geneexp##PA14_07980	0.00135292979365	0.0101851075861	  (0, 0)	1288.24767688	  (0, 0)	724.992744322
geneexp##PA14_08280	0.00134538688004	0.011723177834	  (0, 0)	551.86376526	  (0, 0)	574.619873466
geneexp##PA14_66100	0.00134156895306	0.011749529585	  (0, 0)	1145.9600525	  (0, 0)	823.548505398
geneexp##PA14_08260	0.00133133235118	0.0110186000229	  (0, 0)	439.460074087	  (0, 0)	469.522240034
geneexp##PA14_36620	0.00132632815551	0.0110560452647	  (0, 0)	772.795016292	  (0, 0)	383.906949407
geneexp##PA14_08050	0.00131626119275	0.010486531575	  (0, 0)	1462.4411823	  (0, 0)	688.11701944
geneexp##PA14_36010	0.00130116044772	0.0105354994251	  (0, 0)	1011.41512325	  (0, 0)	528.293648353
geneexp##PA14_08200	0.00129881734864	0.0122622506074	  (0, 0)	547.203217738	  (0, 0)	632.073398231
geneexp##PA14_30940,trbB	0.00124936371467	0.0115533076514	  (0, 0)	504.682799658	  (0, 0)	176.620777091
geneexp##PA14_30860,trbG	0.00124617148764	0.011115757818	  (0, 0)	562.258702924	  (0, 0)	213.535393298
geneexp##PA14_28760	0.00124413810171	0.0108618681711	  (0, 0)	933.492318932	  (0, 0)	469.443423898
geneexp##PA14_38360,ugd	0.00121566903872	0.0097771741488	  (0, 0)	1359.41433681	  (0, 0)	793.157578281
geneexp##PA14_01190	0.00120536450338	0.0102196572592	  (0, 0)	1012.23615731	  (0, 0)	573.7523641
geneexp##PA14_20530	0.00120400164729	0.0103865238301	  (0, 0)	79.598875098	  (0, 0)	234.893772029
geneexp##PA14_16640	0.00117191346571	0.00891501958937	  (0, 0)	1893.02591806	  (0, 0)	1097.08412439
geneexp##PA14_16670,cadR	0.00112117052152	0.00956947304986	  (0, 0)	1252.75722362	  (0, 0)	732.781117523
