feature	score	std	#I-out-of-206	#O-out-of-147
geneexp##PA14_10790,ampC	0.00972881140628	0.0366546023996	  (0, 0)	1366.13802828	  (0, 0)	711.696493043
geneexp##PA14_10780	0.00584177483558	0.0241458595137	  (0, 0)	1065.55464033	  (0, 0)	632.993481106
geneexp##PA14_48970	0.00385334414566	0.0192342913783	  (0, 0)	307.695818112	  (0, 0)	396.117398183
geneexp##PA14_48900	0.00257156603501	0.0153605713183	  (0, 0)	63.126488521	  (0, 0)	122.899984047
geneexp##PA14_06080,creD	0.00229332787951	0.0129142150972	  (0, 0)	869.766846727	  (0, 0)	528.392037142
geneexp##PA14_48910	0.00203498637133	0.0137396328307	  (0, 0)	321.135141835	  (0, 0)	403.251588504
geneexp##PA14_08370,vfr	0.00185643960864	0.013264219255	  (0, 0)	1572.3412065	  (0, 0)	1156.76589059
geneexp##PA14_48880,intT	0.00178620042946	0.0116743882495	  (0, 0)	260.763250683	  (0, 0)	328.441835397
geneexp##PA14_48950	0.00178166150498	0.0128455432376	  (0, 0)	318.699886138	  (0, 0)	449.414187221
geneexp##PA14_70940,betA	0.00177026797483	0.0127340789552	  (0, 0)	1152.51630114	  (0, 0)	869.803444302
geneexp##PA14_48940,coaB	0.00164266541742	0.0128273796251	  (0, 0)	256.600514486	  (0, 0)	367.442338228
geneexp##PA14_58730,pilA	0.0016092847249	0.0115533270366	  (0, 0)	1383.5523298	  (0, 0)	1055.79976351
geneexp##PA14_09160,bfrA	0.00159326412466	0.0133969498071	  (0, 0)	1459.86515283	  (0, 0)	1085.60806552
geneexp##PA14_03290	0.00152404143046	0.0114668719358	  (0, 0)	1216.51500239	  (0, 0)	787.804197219
geneexp##PA14_66620,pilQ	0.00151395759825	0.0119393016336	  (0, 0)	1614.95879629	  (0, 0)	1195.78342084
geneexp##PA14_51630	0.00149871992745	0.0113564268066	  (0, 0)	1006.27899333	  (0, 0)	618.82758776
geneexp##PA14_54150,putP	0.00148257996349	0.0118308331026	  (0, 0)	1274.73337516	  (0, 0)	992.549237268
geneexp##PA14_51620	0.00144185762909	0.0111471559136	  (0, 0)	1180.4221252	  (0, 0)	747.849329238
geneexp##PA14_70950,betB	0.00140553727385	0.0109522164588	  (0, 0)	1349.16247662	  (0, 0)	1001.0093059
geneexp##PA14_05360,pilJ	0.00139960776571	0.0125858623196	  (0, 0)	1621.75565446	  (0, 0)	1200.12149911
geneexp##PA14_05380,pilK	0.00139273519771	0.0116684892883	  (0, 0)	1103.20454901	  (0, 0)	828.057994113
geneexp##PA14_41280	0.00137306312334	0.0105362019302	  (0, 0)	1134.06646538	  (0, 0)	688.500329337
geneexp##PA14_72930	0.00134039200983	0.0110416075328	  (0, 0)	1555.56675669	  (0, 0)	1144.73636496
geneexp##PA14_08070,gpFI	0.00133343632317	0.010990205794	  (0, 0)	1262.85436663	  (0, 0)	732.862992908
geneexp##PA14_49000	0.00133097403784	0.0106916654785	  (0, 0)	61.7377300929	  (0, 0)	118.676348987
geneexp##PA14_05300	0.00132021876839	0.0117060217313	  (0, 0)	1179.89359903	  (0, 0)	881.385498878
geneexp##PA14_55110	0.0012774753073	0.0113311778867	  (0, 0)	1247.66660744	  (0, 0)	945.244745233
geneexp##PA14_03300	0.00125343374525	0.0095778948106	  (0, 0)	1026.70787205	  (0, 0)	649.89210574
geneexp##PA14_54230	0.0012384068023	0.0111065954758	  (0, 0)	887.839853373	  (0, 0)	677.395442893
geneexp##PA14_57140	0.00121665628379	0.0104683586243	  (0, 0)	1047.17240535	  (0, 0)	786.276375046
geneexp##PA14_08040,gpI	0.00118890115662	0.00945660328403	  (0, 0)	982.06453081	  (0, 0)	562.300034135
geneexp##PA14_04690	0.00118807016893	0.0102636774239	  (0, 0)	1012.15727898	  (0, 0)	778.506409749
geneexp##PA14_40150	0.00117347824885	0.0111907415627	  (0, 0)	763.803643862	  (0, 0)	581.398151441
geneexp##PA14_38395	0.00117119555077	0.00978745670578	  (0, 0)	1128.15698711	  (0, 0)	703.253805523
geneexp##PA14_01010	0.00115019231961	0.00929933050853	  (0, 0)	1555.18865653	  (0, 0)	1040.51906009
geneexp##PA14_70970,betI	0.00111988248086	0.00934955343786	  (0, 0)	1201.84646159	  (0, 0)	900.668364045
geneexp##PA14_17510	0.00109975257161	0.00954701282707	  (0, 0)	1089.14525518	  (0, 0)	729.634201474
geneexp##PA14_33120	0.00107038377274	0.00998534980837	  (0, 0)	1035.576419	  (0, 0)	771.528187357
geneexp##PA14_08140,XR2	0.00106657090141	0.00999191875998	  (0, 0)	660.32846089	  (0, 0)	341.59470772
geneexp##PA14_38410,amrB	0.00106208861425	0.00863803943135	  (0, 0)	1349.97933594	  (0, 0)	847.878372325
geneexp##PA14_72540	0.00105777937409	0.0108585123663	  (0, 0)	1569.51226586	  (0, 0)	1156.21297133
geneexp##PA14_60300,pilX	0.00104397510906	0.00885718789935	  (0, 0)	929.34162506	  (0, 0)	744.524554003
geneexp##PA14_55960,pctC	0.00102770789379	0.00904765272196	  (0, 0)	1259.58417892	  (0, 0)	962.25362023
geneexp##PA14_60860,nfxB	0.00101801585886	0.00837320671514	  (0, 0)	1194.79923741	  (0, 0)	894.352940686
geneexp##PA14_15430,tnpR	0.00101622290198	0.00798565288419	  (0, 0)	594.675454885	  (0, 0)	253.494117213
geneexp##PA14_42780	0.000989657239002	0.00968140055881	  (0, 0)	1050.59721703	  (0, 0)	790.67447086
geneexp##PA14_51880,oprD	0.000984020633563	0.00903715000394	  (0, 0)	1765.98204305	  (0, 0)	1301.99506805
geneexp##PA14_34170	0.000975515109227	0.00832834864449	  (0, 0)	564.809279448	  (0, 0)	305.43130325
geneexp##PA14_72520	0.000955495448857	0.00870716176552	  (0, 0)	1228.98291956	  (0, 0)	912.192751267
geneexp##PA14_08000	0.000948885820322	0.00825179303914	  (0, 0)	902.54100203	  (0, 0)	505.84359379
geneexp##PA14_48930	0.000948528092749	0.00819055669624	  (0, 0)	209.982123591	  (0, 0)	262.065410838
geneexp##PA14_01080	0.000942060986056	0.00828032828545	  (0, 0)	1191.63848774	  (0, 0)	773.826672683
geneexp##PA14_61080,dctP	0.000930618214472	0.00854528428995	  (0, 0)	917.790115638	  (0, 0)	712.204353834
geneexp##PA14_60310,pilY1	0.000928843623673	0.00768151694008	  (0, 0)	968.660821401	  (0, 0)	809.934237152
geneexp##PA14_31190	0.000925334341472	0.00820820934687	  (0, 0)	594.694245488	  (0, 0)	337.298266261
geneexp##PA14_33050	0.000915992464491	0.00868362005735	  (0, 0)	705.173369432	  (0, 0)	442.835247231
geneexp##PA14_54170,putA	0.000914212928431	0.00784981437782	  (0, 0)	1396.07413576	  (0, 0)	1100.82016378
geneexp##PA14_28390	0.000913490598829	0.00755562970621	  (0, 0)	693.544643381	  (0, 0)	567.203259401
geneexp##PA14_37250	0.000912145816024	0.0076610523784	  (0, 0)	1439.30238174	  (0, 0)	971.911297359
geneexp##PA14_18720,motY	0.000905179845466	0.00883830594487	  (0, 0)	1021.84502951	  (0, 0)	767.543000421
geneexp##PA14_33000,gcvP2	0.000900299123053	0.0093551362808	  (0, 0)	1575.63918882	  (0, 0)	1050.47322728
geneexp##PA14_58770,pilD	0.000899194675313	0.00888403170055	  (0, 0)	1209.91956115	  (0, 0)	899.843893901
geneexp##PA14_48960	0.000897531978764	0.00845498212056	  (0, 0)	165.780367315	  (0, 0)	217.963901802
geneexp##PA14_60280,fimU	0.000893335821956	0.00732357136995	  (0, 0)	604.453125507	  (0, 0)	526.90511023
geneexp##PA14_08120	0.00087133107565	0.00731547444597	  (0, 0)	1189.3901957	  (0, 0)	677.130178823
geneexp##PA14_58690	0.00086900803461	0.00846889286692	  (0, 0)	1409.46050479	  (0, 0)	1063.66340102
geneexp##PA14_48980	0.00086130851778	0.0074700046287	  (0, 0)	303.027787229	  (0, 0)	330.701546127
geneexp##PA14_46070,gbuA	0.000845713114571	0.00749651300362	  (0, 0)	918.123931633	  (0, 0)	611.393666636
geneexp##PA14_01060	0.000844942845188	0.00740649335891	  (0, 0)	1001.22558826	  (0, 0)	655.001808332
geneexp##PA14_53500	0.000838703960781	0.00736367506325	  (0, 0)	1588.21152178	  (0, 0)	1167.92744312
geneexp##PA14_60700,ccpR	0.000837456593533	0.00695021875317	  (0, 0)	1753.69419499	  (0, 0)	1305.75007383
geneexp##PA14_39070	0.000833225831072	0.00852112087017	  (0, 0)	1063.51885831	  (0, 0)	800.944922856
geneexp##PA14_49020	0.000829148194871	0.00718655494779	  (0, 0)	507.40803751	  (0, 0)	543.421754765
geneexp##PA14_16960	0.000829109794113	0.00878818558819	  (0, 0)	991.888354139	  (0, 0)	742.320085023
geneexp##PA14_50440,flgF	0.00082792737374	0.00796210074067	  (0, 0)	1211.26331709	  (0, 0)	897.637259309
geneexp##PA14_58750,pilB	0.00082751821642	0.00708295145166	  (0, 0)	1640.45369139	  (0, 0)	1220.92170226
geneexp##PA14_08050	0.000826549066087	0.00936569815183	  (0, 0)	1241.07491101	  (0, 0)	740.652101167
geneexp##PA14_31050	0.000826429200847	0.00708730534183	  (0, 0)	323.962671654	  (0, 0)	371.308198311
geneexp##PA14_29750	0.000823317195678	0.00744523514015	  (0, 0)	614.864406296	  (0, 0)	368.481325501
geneexp##PA14_15410	0.000822326159313	0.00855164757411	  (0, 0)	413.756584773	  (0, 0)	189.962808279
geneexp##PA14_33650,pvdD	0.000817457602912	0.0083055463021	  (0, 0)	868.135608384	  (0, 0)	711.527415083
geneexp##PA14_00210	0.000811763464637	0.0081424073706	  (0, 0)	1484.7608574	  (0, 0)	1099.64296322
geneexp##PA14_01190	0.000808233629912	0.00724278949215	  (0, 0)	893.539638384	  (0, 0)	574.087863743
geneexp##PA14_05330,pilH	0.000805938712907	0.00858549945491	  (0, 0)	1342.54584418	  (0, 0)	999.143650542
geneexp##PA14_62560,pcnB	0.000803639733223	0.0079929152718	  (0, 0)	1336.10734998	  (0, 0)	979.433628979
geneexp##PA14_32820	0.000802812686877	0.00694603652779	  (0, 0)	347.440555189	  (0, 0)	344.004020634
geneexp##PA14_25490	0.000801563260235	0.00827750488468	  (0, 0)	1183.49122758	  (0, 0)	877.943025026
geneexp##PA14_48990	0.000796436971817	0.00799851189101	  (0, 0)	168.744607079	  (0, 0)	225.650685977
geneexp##PA14_06090	0.000796167811573	0.00774015463677	  (0, 0)	621.423828774	  (0, 0)	368.961435313
geneexp##PA14_37270	0.000789015654006	0.00688277360157	  (0, 0)	1242.98314711	  (0, 0)	846.523614968
geneexp##PA14_01020	0.000781498119424	0.00680079977122	  (0, 0)	1703.50531525	  (0, 0)	1147.85825774
geneexp##PA14_08010,gpV	0.000781381798924	0.00694542131494	  (0, 0)	976.697513107	  (0, 0)	540.526728186
geneexp##PA14_33040,gcvT2	0.000780741937494	0.00654205411556	  (0, 0)	1113.15177354	  (0, 0)	735.910866647
geneexp##PA14_08110	0.000778082955703	0.00726452667087	  (0, 0)	760.605056198	  (0, 0)	422.774603985
geneexp##PA14_67860	0.000774439149596	0.00767270211219	  (0, 0)	889.125842067	  (0, 0)	687.193054104
geneexp##PA14_01030	0.000771947337248	0.00782423643361	  (0, 0)	1443.43142874	  (0, 0)	951.293932059
geneexp##PA14_48890	0.000771737603058	0.00749705815902	  (0, 0)	619.94649962	  (0, 0)	546.874544801
geneexp##PA14_08020,gpW	0.000753271093952	0.00816089406227	  (0, 0)	856.108930843	  (0, 0)	483.236479938
geneexp##PA14_33690,pvdE	0.000749404552127	0.00684703628191	  (0, 0)	591.066354819	  (0, 0)	456.756639338
geneexp##PA14_66640,pilO	0.000745722166932	0.00743501739276	  (0, 0)	1435.43366523	  (0, 0)	1052.7178867
