feature	score	std	#I-out-of-206	#O-out-of-147
geneexp##PA14_10790,ampC	0.00985551803319	0.0359847368505	  (0, 0)	1366.13802828	  (0, 0)	711.696493043
geneexp##PA14_10780	0.00837913964564	0.0318352324807	  (0, 0)	1065.55464033	  (0, 0)	632.993481106
geneexp##PA14_06080,creD	0.0028264431635	0.014812783426	  (0, 0)	869.766846727	  (0, 0)	528.392037142
geneexp##PA14_48970	0.00264204750366	0.0152261045053	  (0, 0)	307.695818112	  (0, 0)	396.117398183
geneexp##PA14_48900	0.00227560052065	0.0157765648598	  (0, 0)	63.126488521	  (0, 0)	122.899984047
geneexp##PA14_38410,amrB	0.00191567636112	0.0125450863027	  (0, 0)	1349.97933594	  (0, 0)	847.878372325
geneexp##PA14_54170,putA	0.00179351901987	0.0131419212579	  (0, 0)	1396.07413576	  (0, 0)	1100.82016378
geneexp##PA14_09160,bfrA	0.00174850694785	0.0134787239508	  (0, 0)	1459.86515283	  (0, 0)	1085.60806552
geneexp##PA14_55110	0.00172553153232	0.0123236411031	  (0, 0)	1247.66660744	  (0, 0)	945.244745233
geneexp##PA14_54150,putP	0.00172088586631	0.0130784883463	  (0, 0)	1274.73337516	  (0, 0)	992.549237268
geneexp##PA14_51620	0.00166549982973	0.0114889084239	  (0, 0)	1180.4221252	  (0, 0)	747.849329238
geneexp##PA14_66620,pilQ	0.00165280551575	0.0119472014927	  (0, 0)	1614.95879629	  (0, 0)	1195.78342084
geneexp##PA14_04690	0.00165265388248	0.0115636696558	  (0, 0)	1012.15727898	  (0, 0)	778.506409749
geneexp##PA14_48950	0.00162263707112	0.0114161260405	  (0, 0)	318.699886138	  (0, 0)	449.414187221
geneexp##PA14_51630	0.00151438005792	0.0109583217258	  (0, 0)	1006.27899333	  (0, 0)	618.82758776
geneexp##PA14_48940,coaB	0.0015065719727	0.0111921435871	  (0, 0)	256.600514486	  (0, 0)	367.442338228
geneexp##PA14_48910	0.00150642354856	0.0119080982406	  (0, 0)	321.135141835	  (0, 0)	403.251588504
geneexp##PA14_42780	0.00146804488817	0.0121259872276	  (0, 0)	1050.59721703	  (0, 0)	790.67447086
geneexp##PA14_41280	0.00143961886406	0.0119056983087	  (0, 0)	1134.06646538	  (0, 0)	688.500329337
geneexp##PA14_38395	0.00142450403227	0.0117759485029	  (0, 0)	1128.15698711	  (0, 0)	703.253805523
geneexp##PA14_63360	0.00140330753855	0.0115784473419	  (0, 0)	984.588203475	  (0, 0)	733.286702246
geneexp##PA14_01200	0.00140084319308	0.0100763636219	  (0, 0)	1184.60678648	  (0, 0)	780.183638377
geneexp##PA14_08070,gpFI	0.00139774964899	0.00926135589833	  (0, 0)	1262.85436663	  (0, 0)	732.862992908
geneexp##PA14_70940,betA	0.00139549428225	0.0099910760951	  (0, 0)	1152.51630114	  (0, 0)	869.803444302
geneexp##PA14_05330,pilH	0.00137565788151	0.0106538579936	  (0, 0)	1342.54584418	  (0, 0)	999.143650542
geneexp##PA14_08040,gpI	0.0013452642006	0.0109774629294	  (0, 0)	982.06453081	  (0, 0)	562.300034135
geneexp##PA14_41500	0.00133099599021	0.0101256933801	  (0, 0)	1062.30342185	  (0, 0)	735.820867273
geneexp##PA14_49000	0.0013208318119	0.0103151693551	  (0, 0)	61.7377300929	  (0, 0)	118.676348987
geneexp##PA14_48880,intT	0.00129191404188	0.00944443700875	  (0, 0)	260.763250683	  (0, 0)	328.441835397
geneexp##PA14_15430,tnpR	0.00128801490946	0.00982922478107	  (0, 0)	594.675454885	  (0, 0)	253.494117213
geneexp##PA14_33650,pvdD	0.00128658007529	0.00988545327089	  (0, 0)	868.135608384	  (0, 0)	711.527415083
geneexp##PA14_05340,pilI	0.00123943120213	0.0110393839452	  (0, 0)	1085.61637649	  (0, 0)	822.65410566
geneexp##PA14_33000,gcvP2	0.00123810566673	0.0101876243124	  (0, 0)	1575.63918882	  (0, 0)	1050.47322728
geneexp##PA14_70970,betI	0.00121791818064	0.00942133313934	  (0, 0)	1201.84646159	  (0, 0)	900.668364045
geneexp##PA14_48960	0.00121163731224	0.0107672803168	  (0, 0)	165.780367315	  (0, 0)	217.963901802
geneexp##PA14_70950,betB	0.00120001635571	0.00976175874568	  (0, 0)	1349.16247662	  (0, 0)	1001.0093059
geneexp##PA14_58770,pilD	0.00118553847843	0.00958897977332	  (0, 0)	1209.91956115	  (0, 0)	899.843893901
geneexp##PA14_05190,pilU	0.00117349350486	0.00977613531882	  (0, 0)	1245.21015908	  (0, 0)	929.137144055
geneexp##PA14_24180	0.00116839037855	0.0106519457197	  (0, 0)	1191.86361422	  (0, 0)	886.510198087
geneexp##PA14_57140	0.00114298485792	0.0103305362863	  (0, 0)	1047.17240535	  (0, 0)	786.276375046
geneexp##PA14_17510	0.00111564803987	0.00870472053386	  (0, 0)	1089.14525518	  (0, 0)	729.634201474
geneexp##PA14_48980	0.00110494025048	0.00804998563637	  (0, 0)	303.027787229	  (0, 0)	330.701546127
geneexp##PA14_08100	0.00106428364483	0.00895612784061	  (0, 0)	882.505175406	  (0, 0)	499.739532727
geneexp##PA14_15410	0.00105772451487	0.00929471914881	  (0, 0)	413.756584773	  (0, 0)	189.962808279
geneexp##PA14_05300	0.00105476378399	0.00935514940907	  (0, 0)	1179.89359903	  (0, 0)	881.385498878
geneexp##PA14_55150	0.00105226664208	0.00837082761654	  (0, 0)	955.154218986	  (0, 0)	718.254253742
geneexp##PA14_59845	0.00103754961872	0.0079486697922	  (0, 0)	1030.04829645	  (0, 0)	797.741033109
geneexp##PA14_08120	0.00103441077969	0.00848171279009	  (0, 0)	1189.3901957	  (0, 0)	677.130178823
geneexp##PA14_46070,gbuA	0.00100169654811	0.00852620469001	  (0, 0)	918.123931633	  (0, 0)	611.393666636
geneexp##PA14_20730,flgM	0.000998511866941	0.0113683087056	  (0, 0)	1499.2343724	  (0, 0)	1092.99667058
geneexp##PA14_00320	0.000993287046303	0.00796477238658	  (0, 0)	802.77982157	  (0, 0)	625.962011105
geneexp##PA14_45540,motD	0.000982739555211	0.00896116497191	  (0, 0)	1283.71750609	  (0, 0)	944.743415184
geneexp##PA14_33030,sdaA	0.000979019837565	0.00940460590425	  (0, 0)	1258.88911207	  (0, 0)	841.920812263
geneexp##PA14_15420	0.000974282524476	0.00832242094585	  (0, 0)	402.98253895	  (0, 0)	151.984429965
geneexp##PA14_08050	0.000969724905646	0.00868390439339	  (0, 0)	1241.07491101	  (0, 0)	740.652101167
geneexp##PA14_05390,CHpA	0.000955993212956	0.00824949174405	  (0, 0)	1661.86358947	  (0, 0)	1227.12589509
geneexp##PA14_33630,pvdJ	0.000951586483574	0.00935736791989	  (0, 0)	838.531219998	  (0, 0)	664.31784494
geneexp##PA14_08140,XR2	0.000950389828359	0.0081518109021	  (0, 0)	660.32846089	  (0, 0)	341.59470772
geneexp##PA14_05360,pilJ	0.000930455790604	0.00858494194275	  (0, 0)	1621.75565446	  (0, 0)	1200.12149911
geneexp##PA14_05860	0.000919215398514	0.00826604536005	  (0, 0)	1673.58025618	  (0, 0)	1224.40255426
geneexp##PA14_01020	0.000918436286613	0.00807119327452	  (0, 0)	1703.50531525	  (0, 0)	1147.85825774
geneexp##PA14_60860,nfxB	0.000912599463739	0.00828909938043	  (0, 0)	1194.79923741	  (0, 0)	894.352940686
geneexp##PA14_20170,nosY	0.000902111337663	0.00840442181657	  (0, 0)	957.361455979	  (0, 0)	730.61812911
geneexp##PA14_05380,pilK	0.000901910759415	0.00918361447933	  (0, 0)	1103.20454901	  (0, 0)	828.057994113
geneexp##PA14_08150,gpD	0.000896657478177	0.00845251969586	  (0, 0)	1057.36764772	  (0, 0)	599.18267417
geneexp##PA14_61080,dctP	0.000890243123109	0.00786666671985	  (0, 0)	917.790115638	  (0, 0)	712.204353834
geneexp##PA14_06090	0.000875610189437	0.0071785451075	  (0, 0)	621.423828774	  (0, 0)	368.961435313
geneexp##PA14_45620,CHeY	0.000868182553077	0.00875831885075	  (0, 0)	1366.88163331	  (0, 0)	1004.27765881
geneexp##PA14_12690	0.00086636322029	0.00763183112009	  (0, 0)	954.976544051	  (0, 0)	723.031771222
geneexp##PA14_01190	0.000862511716993	0.00859088359265	  (0, 0)	893.539638384	  (0, 0)	574.087863743
geneexp##PA14_08010,gpV	0.000850260470991	0.00773693616295	  (0, 0)	976.697513107	  (0, 0)	540.526728186
geneexp##PA14_58730,pilA	0.000848314929334	0.00779562388431	  (0, 0)	1383.5523298	  (0, 0)	1055.79976351
geneexp##PA14_66660,pilM	0.000841815578279	0.00777522355867	  (0, 0)	1508.55738643	  (0, 0)	1110.69854814
geneexp##PA14_32985,gcvH2	0.000839721151446	0.00727822723001	  (0, 0)	972.71946282	  (0, 0)	644.403645613
geneexp##PA14_08030	0.000834851603421	0.00740773340714	  (0, 0)	1048.4175459	  (0, 0)	592.505341665
geneexp##PA14_08370,vfr	0.000831845689796	0.00827644056642	  (0, 0)	1572.3412065	  (0, 0)	1156.76589059
geneexp##PA14_72520	0.000828363448864	0.00825319540689	  (0, 0)	1228.98291956	  (0, 0)	912.192751267
