feature	score	std	#I-out-of-135	#O-out-of-277
genePA##,,group_4175	0.00515331232176	0.0443550628037	  (0, 0)	1.65174644854	  (0, 0)	0.175929435234
genePA##,,group_13821	0.00443028309365	0.0362640335544	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_7210	0.00366471382773	0.0345508732917	  (0, 0)	1.50551751365	  (0, 0)	0.110849593476
genePA##,,group_4189	0.00359692015064	0.0338986407168	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_2233	0.00347283095444	0.0337874574824	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_6416	0.00343389179558	0.0308888249059	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_642	0.00342915585732	0.0315867016077	  (0, 0)	1.66042271711	  (0, 0)	0.105333561146
genePA##,,group_5261	0.00335676247009	0.0299600751861	  (0, 0)	1.49492596953	  (0, 0)	0.157410815743
genePA##,,group_11701	0.00335233051572	0.0312713166549	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,topB_1	0.00331344672633	0.0322477774317	  (0, 0)	1.56081032831	  (0, 0)	0.106199810402
genePA##,,group_21936	0.00329089559351	0.0307981773494	  (0, 0)	1.48624018868	  (0, 0)	0.0707273745787
genePA##,,group_9984	0.0032667151175	0.0337118946919	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_9986	0.00326355329861	0.0330963525857	  (0, 0)	1.54892019309	  (0, 0)	0.127190016748
genePA##,,group_13822	0.00320406670468	0.0308174222242	  (0, 0)	1.49643169629	  (0, 0)	0.136088676366
genePA##,,hcaR_4	0.00318797256864	0.0317063859233	  (0, 0)	1.48933440547	  (0, 0)	0.0975981881312
genePA##,,group_13818	0.00317294831983	0.0302360035298	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_16709	0.00314782425797	0.0291356663844	  (0, 0)	1.47930456541	  (0, 0)	0.0908247868841
genePA##,,group_21830	0.00313927036118	0.0314849348099	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##PA14_58910,,soj_3	0.00310075951217	0.0322235882002	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_11706	0.00306007025151	0.0298050370191	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_16710	0.00304759523745	0.0283264445441	  (0, 0)	1.48624018868	  (0, 0)	0.0707273745787
genePA##,,group_21827	0.00301739454629	0.0316213177978	  (0, 0)	1.51227275141	  (0, 0)	0.111346974179
genePA##,,group_11708	0.00300350773359	0.0300402952522	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_21825	0.00288828120282	0.0305436766424	  (0, 0)	1.54195548751	  (0, 0)	0.106640346279
genePA##,,group_7170	0.00283754286278	0.029587820935	  (0, 0)	1.54798495143	  (0, 0)	0.106640346279
genePA##,,group_14932	0.00279330848256	0.030177406926	  (0, 0)	1.4937404174	  (0, 0)	0.0952992031157
genePA##,,group_11732	0.00278182457282	0.0285630684361	  (0, 0)	1.61577307588	  (0, 0)	0.0682062573532
genePA##,,group_4326	0.00266701899639	0.0249016385173	  (0, 0)	1.51930337388	  (0, 0)	0.27427095654
