feature	score	std	#I-out-of-20	#O-out-of-334
geneexp##PA14_63120	0.0177404692063	0.0840791490328	  (0, 0)	145.693698119	  (0, 0)	1359.97741735
geneexp##PA14_63110	0.0169186396745	0.0825221720964	  (0, 0)	136.779663017	  (0, 0)	1244.93973979
geneexp##PA14_63220	0.0155695268395	0.083360434866	  (0, 0)	104.775708173	  (0, 0)	866.239441515
geneexp##PA14_41290	0.014271485484	0.0692617684999	  (0, 0)	88.7603353723	  (0, 0)	715.810893982
geneexp##PA14_18370,arnB	0.0120711140329	0.0638368026455	  (0, 0)	136.590276882	  (0, 0)	1539.52694057
geneexp##PA14_41280	0.0116587625552	0.0615603083175	  (0, 0)	144.57498905	  (0, 0)	1580.42728376
geneexp##PA14_63130	0.0106924688392	0.0588334754714	  (0, 0)	132.99781376	  (0, 0)	1562.75968118
geneexp##PA14_18310	0.0105317144068	0.0598955954904	  (0, 0)	133.644483906	  (0, 0)	1468.76076377
geneexp##PA14_63150,pmrA	0.0104593128841	0.0632146778178	  (0, 0)	118.286384817	  (0, 0)	1373.08780672
geneexp##PA14_18350,fmt	0.0103845127511	0.0605612559011	  (0, 0)	140.653151215	  (0, 0)	1629.94296005
geneexp##PA14_63160,pmrB	0.0102839681653	0.0591435613988	  (0, 0)	129.757304981	  (0, 0)	1611.8070359
geneexp##PA14_18330,arnT	0.010048498033	0.0541642023024	  (0, 0)	105.204037166	  (0, 0)	1111.28896572
geneexp##PA14_29750	0.0098885583639	0.0514601955954	  (0, 0)	95.3309940908	  (0, 0)	828.961324002
geneexp##PA14_18360,prmF	0.00985756794994	0.0534547554256	  (0, 0)	124.271510811	  (0, 0)	1366.33610666
geneexp##PA14_18320	0.00931660124727	0.0548681043277	  (0, 0)	90.0266599233	  (0, 0)	883.339048188
geneexp##PA14_04810	0.0091554818674	0.0533467198195	  (0, 0)	137.38327598	  (0, 0)	1862.72116512
geneexp##PA14_44311	0.00911450477985	0.0550514204495	  (0, 0)	147.159088832	  (0, 0)	1594.56115058
geneexp##PA14_18340	0.0090871079445	0.0538665684239	  (0, 0)	94.9808882554	  (0, 0)	910.708869733
geneexp##PA14_18300	0.00843825423602	0.0492249559819	  (0, 0)	138.397896866	  (0, 0)	1598.02737308
geneexp##PA14_34170	0.00658715648091	0.0376856954992	  (0, 0)	64.9395054845	  (0, 0)	725.932439205
geneexp##PA14_04790	0.0054325181754	0.0360259904937	  (0, 0)	120.602372616	  (0, 0)	1622.84521399
geneexp##PA14_04780	0.00525059828389	0.0368712773264	  (0, 0)	125.856775323	  (0, 0)	1719.34669458
geneexp##PA14_48090,aprF	0.00351503195156	0.0249016712325	  (0, 0)	87.1181273675	  (0, 0)	1629.01691551
geneexp##PA14_39880,phzG2	0.00323839436299	0.0246264743954	  (0, 0)	71.8414748139	  (0, 0)	1288.05164039
geneexp##PA14_04000	0.00319082336888	0.0208394771644	  (0, 0)	83.4178716822	  (0, 0)	1469.63126665
geneexp##PA14_53820	0.00310894422627	0.0240507645207	  (0, 0)	136.477438136	  (0, 0)	1960.76650103
geneexp##PA3621.1,rsmZ	0.00265748050528	0.018934298666	  (0, 0)	202.082047518	  (0, 0)	3155.6426698
geneexp##PA14_04820	0.00257690765473	0.0215318542492	  (0, 0)	123.42190616	  (0, 0)	1919.51906356
geneexp##PA14_02020	0.00253109790823	0.020125068294	  (0, 0)	85.5645731629	  (0, 0)	1598.90550638
geneexp##PA14_11250	0.00236211790883	0.0190954958713	  (0, 0)	112.336044836	  (0, 0)	1949.61229016
geneexp##PA14_56670	0.00219711239143	0.0190167224677	  (0, 0)	82.5904041807	  (0, 0)	1185.48566782
geneexp##PA14_28930	0.00212528857444	0.0186519789535	  (0, 0)	51.0570985977	  (0, 0)	948.256345705
geneexp##PA14_31870	0.00211936132338	0.0181027849581	  (0, 0)	119.245828936	  (0, 0)	1843.80451377
geneexp##PA14_52480	0.00200946192947	0.0205242092197	  (0, 0)	93.9421579242	  (0, 0)	1277.35129457
geneexp##PA14_20720,flgN	0.00199069016424	0.0165458363509	  (0, 0)	135.048389725	  (0, 0)	2352.31029028
geneexp##PA14_56680,feoB	0.00194453028793	0.0184290895335	  (0, 0)	133.436519335	  (0, 0)	1994.23535906
geneexp##PA14_48100,aprE	0.00183088008151	0.0175118114784	  (0, 0)	78.5206066927	  (0, 0)	1484.04705108
geneexp##PA14_28050	0.00174811249841	0.0190889928072	  (0, 0)	106.987556886	  (0, 0)	1980.19962914
geneexp##PA14_03980	0.00166602269118	0.0131947672775	  (0, 0)	104.488573395	  (0, 0)	1737.47113367
geneexp##PA14_49970	0.00162967728265	0.0154486480118	  (0, 0)	83.7602249305	  (0, 0)	1392.07701143
geneexp##PA14_63320	0.00152630451632	0.0161323978298	  (0, 0)	79.1775791393	  (0, 0)	1323.51593561
geneexp##PA14_47890	0.00150471004436	0.0133338331647	  (0, 0)	121.50948296	  (0, 0)	2093.07089934
geneexp##PA14_34150,sfnR	0.00148447101181	0.019542620734	  (0, 0)	68.3309848644	  (0, 0)	1301.81757217
geneexp##PA14_43910	0.00147703638915	0.0177120997041	  (0, 0)	63.4532883322	  (0, 0)	1108.72075527
geneexp##PA14_47640	0.00147583743785	0.0151148353218	  (0, 0)	80.0511746079	  (0, 0)	1290.77404474
geneexp##PA14_31900	0.00144552008721	0.0158636187566	  (0, 0)	123.320888331	  (0, 0)	1929.21819553
geneexp##PA14_53220,fumC2	0.00143319161164	0.0161908063409	  (0, 0)	133.087971767	  (0, 0)	2196.72899133
geneexp##PA14_59830	0.00142598725982	0.0152941101861	  (0, 0)	67.9344920134	  (0, 0)	1602.0985321
geneexp##PA14_29120	0.0014155499771	0.0150608148161	  (0, 0)	89.1825364899	  (0, 0)	1574.31585056
geneexp##PA14_47760,cobB	0.00135504382231	0.0135394638009	  (0, 0)	87.8762152827	  (0, 0)	1583.38432458
geneexp##PA14_23730	0.00131134083223	0.0148773493619	  (0, 0)	76.1171226804	  (0, 0)	1302.30392292
geneexp##PA14_29000	0.00128280591385	0.0151394680184	  (0, 0)	79.3917115764	  (0, 0)	1380.0765396
geneexp##PA14_49760,rhlC	0.00127659287968	0.0156945866182	  (0, 0)	75.4252654974	  (0, 0)	1121.69265377
geneexp##PA14_34800	0.00124816315658	0.0187907491381	  (0, 0)	77.6246556107	  (0, 0)	1594.03614381
geneexp##PA14_06450,accC	0.00124397948702	0.0135550333706	  (0, 0)	70.4309513711	  (0, 0)	1240.40960493
geneexp##PA14_28895	0.00123804754846	0.0135027143168	  (0, 0)	128.532416988	  (0, 0)	2229.20067587
geneexp##PA14_51390,pqsD	0.00122711222767	0.0139891861679	  (0, 0)	81.7594019993	  (0, 0)	1847.83945384
geneexp##PA14_68120,opmG	0.00121803656057	0.0123566404376	  (0, 0)	80.6240705652	  (0, 0)	1384.97070729
geneexp##PA14_44920	0.00121541958154	0.0147922456208	  (0, 0)	132.815398104	  (0, 0)	2320.74457344
geneexp##PA14_28950	0.00121371893359	0.0137929273742	  (0, 0)	79.3247002841	  (0, 0)	1384.36634549
geneexp##PA14_10530	0.00120509249335	0.0119222637486	  (0, 0)	122.251123618	  (0, 0)	2142.75592
geneexp##PA14_12410,thiD	0.00118131046131	0.0143884318822	  (0, 0)	123.597129131	  (0, 0)	2074.78824344
geneexp##PA14_39070	0.00117511178307	0.0134102038567	  (0, 0)	107.422304911	  (0, 0)	1769.14942734
geneexp##PA14_15920,yhjE	0.00116703526483	0.014075312709	  (0, 0)	60.1380687204	  (0, 0)	1023.38970479
geneexp##PA14_31920,opmB	0.00114097501412	0.0130936662376	  (0, 0)	116.651072829	  (0, 0)	1821.42627133
geneexp##PA14_09550	0.00113604467652	0.0131847747465	  (0, 0)	107.106339976	  (0, 0)	1759.61317722
geneexp##PA14_53830	0.00112376660379	0.0140216449378	  (0, 0)	72.7621375829	  (0, 0)	1073.93244224
geneexp##PA14_48440	0.0011116858853	0.0125180446218	  (0, 0)	76.8757540208	  (0, 0)	1277.75265985
geneexp##PA14_46850	0.00111059631015	0.0133223110218	  (0, 0)	72.9702496382	  (0, 0)	1234.76310908
geneexp##PA14_32540	0.00111004949415	0.0114204063266	  (0, 0)	99.9891268608	  (0, 0)	1639.52357182
geneexp##PA14_06240	0.00110394515742	0.0141432623646	  (0, 0)	84.0553662192	  (0, 0)	1347.38876065
geneexp##PA14_56370	0.00109069537839	0.013287194512	  (0, 0)	143.641348251	  (0, 0)	2303.07265236
geneexp##PA14_29100	0.00108822760583	0.0117527134325	  (0, 0)	76.7990497201	  (0, 0)	1404.9359294
geneexp##PA14_29230	0.00108690013634	0.0122477963702	  (0, 0)	80.91236135	  (0, 0)	1515.21617267
geneexp##PA14_31640	0.0010746174767	0.0141780064969	  (0, 0)	65.3549365946	  (0, 0)	1116.545592
