feature	score	std	#I-out-of-135	#O-out-of-277
geneexp##PA14_15470,merP	0.0140951921259	0.0619988902434	  (0, 0)	592.17199503	  (0, 0)	394.764325556
geneexp##PA14_15475,merT	0.0127245355504	0.0556254430894	  (0, 0)	652.392042728	  (0, 0)	513.731974745
geneexp##PA14_15450,merD	0.0110981434148	0.0531470186738	  (0, 0)	440.664988814	  (0, 0)	221.019197624
geneexp##PA14_15435	0.00799011531922	0.0402782064595	  (0, 0)	610.37945447	  (0, 0)	290.457618576
geneexp##PA14_15430,tnpR	0.0078727095682	0.0368220207679	  (0, 0)	556.598051878	  (0, 0)	454.567865794
geneexp##PA14_15420	0.00683174421297	0.0326194076956	  (0, 0)	424.885112882	  (0, 0)	243.683841251
geneexp##PA14_15410	0.00679646348273	0.0365499436883	  (0, 0)	413.718953677	  (0, 0)	303.050206311
geneexp##PA14_15460,merA	0.0066252436661	0.0358294811341	  (0, 0)	688.457605984	  (0, 0)	655.481396974
geneexp##PA14_15445,merE	0.00655773513135	0.0353714688868	  (0, 0)	348.647553441	  (0, 0)	178.773460193
geneexp##PA14_15480,merR	0.00572737038255	0.0310544716521	  (0, 0)	699.655844993	  (0, 0)	696.551054478
geneexp##PA14_07950,prtN	0.00556207098755	0.035040046416	  (0, 0)	828.823150591	  (0, 0)	1474.58252178
geneexp##PA14_31190	0.0055237636581	0.0299704748405	  (0, 0)	549.217772073	  (0, 0)	555.151802664
geneexp##PA14_67190	0.00524285067923	0.0302579088938	  (0, 0)	651.098880428	  (0, 0)	1467.6531291
geneexp##PA14_22270	0.0051110288291	0.0333079771401	  (0, 0)	447.430554612	  (0, 0)	168.201968184
geneexp##PA14_38395	0.00507482190484	0.030550657306	  (0, 0)	817.976802718	  (0, 0)	1296.72875538
geneexp##PA14_14430	0.00495287110465	0.0296604534225	  (0, 0)	131.585887104	  (0, 0)	786.009847362
geneexp##PA14_14420	0.00474924083396	0.0290174318298	  (0, 0)	94.6907021094	  (0, 0)	597.796827975
geneexp##PA14_22090	0.0044762728109	0.0308684357615	  (0, 0)	299.662263989	  (0, 0)	91.5782047346
geneexp##PA14_30850,trbI	0.00438327299239	0.0275419476614	  (0, 0)	531.044499645	  (0, 0)	595.604278721
geneexp##PA14_22080	0.00436702463584	0.0298261198025	  (0, 0)	362.338922264	  (0, 0)	113.235704709
geneexp##PA14_08240	0.00427098657022	0.0274478007952	  (0, 0)	330.584880566	  (0, 0)	1264.62706463
geneexp##PA14_01130	0.00408723024112	0.0304286535568	  (0, 0)	402.083729487	  (0, 0)	388.392066912
geneexp##PA14_22210	0.00403331527951	0.0278919460692	  (0, 0)	252.781003015	  (0, 0)	60.5245512035
