feature	score	std	#I-out-of-293	#O-out-of-102
geneexp##PA14_46070,gbuA	0.012739764869	0.0459409141741	  (0, 0)	1351.51184304	  (0, 0)	376.593799378
geneexp##PA14_51880,oprD	0.00991680566334	0.0353390306564	  (0, 0)	2453.06119546	  (0, 0)	972.791919407
geneexp##PA14_70970,betI	0.00922538677333	0.0345773949998	  (0, 0)	1702.36924025	  (0, 0)	636.621571029
geneexp##PA14_46080	0.00841159220632	0.0350874351128	  (0, 0)	1125.04471298	  (0, 0)	337.596102789
geneexp##PA14_70950,betB	0.00636512291926	0.0263587443872	  (0, 0)	1909.45102147	  (0, 0)	710.950007804
geneexp##PA14_70940,betA	0.00519860346403	0.0230244487828	  (0, 0)	1627.42828298	  (0, 0)	620.35764182
geneexp##PA14_46100	0.00501721918753	0.0237665575382	  (0, 0)	1143.26137754	  (0, 0)	336.292903342
geneexp##PA14_06170,fiuR	0.00458208156976	0.0226254340128	  (0, 0)	959.886115312	  (0, 0)	283.275120314
geneexp##PA14_46110	0.00447935931824	0.0230314337822	  (0, 0)	1151.21960781	  (0, 0)	355.916043744
geneexp##PA14_46120,ilvG	0.00411419881131	0.0189572326178	  (0, 0)	993.287890418	  (0, 0)	302.643495821
geneexp##PA14_72970,tonB	0.00393170020515	0.0189010018129	  (0, 0)	1925.87349819	  (0, 0)	633.552893532
geneexp##PA14_02370	0.00356845034749	0.0184141955409	  (0, 0)	944.465966518	  (0, 0)	408.713358622
geneexp##PA14_05540,mexB	0.00322086395905	0.0169532352914	  (0, 0)	2452.64929394	  (0, 0)	796.622548494
geneexp##PA14_46140	0.00302228316934	0.0168520279784	  (0, 0)	1067.8115001	  (0, 0)	349.13276487
geneexp##PA14_62000,hitA	0.00296423116768	0.0174562451495	  (0, 0)	2134.1024414	  (0, 0)	709.297631671
geneexp##PA14_53880	0.00275882944508	0.0154322853858	  (0, 0)	1415.92321351	  (0, 0)	452.743667862
geneexp##PA14_18680,bfd	0.00270025427014	0.0169212748697	  (0, 0)	1056.18577513	  (0, 0)	329.811336162
geneexp##PA14_58375	0.00246975391115	0.0143532115883	  (0, 0)	1670.41799959	  (0, 0)	607.22086743
geneexp##PA14_61850,iutA	0.00240916725527	0.0141015614996	  (0, 0)	1885.50946422	  (0, 0)	601.530265875
geneexp##PA14_56830,icmP	0.00227112659984	0.0143439517823	  (0, 0)	2388.65202514	  (0, 0)	791.565467749
geneexp##PA14_19650	0.00211818616968	0.0156982243672	  (0, 0)	568.242314544	  (0, 0)	223.221205606
geneexp##PA14_68900,fbpA	0.00211250066965	0.0137396238674	  (0, 0)	2018.22881638	  (0, 0)	654.076581914
geneexp##PA14_05530,mexA	0.0021058340328	0.012911239636	  (0, 0)	2220.26316245	  (0, 0)	722.890335429
