feature	score	std	#I-out-of-293	#O-out-of-102
genePA##,,group_12802	0.00522635253243	0.027001222046	  (0, 0)	2.50325455612	  (0, 0)	0.0667184148639
genePA##PA14_51830,,dps2	0.00468710291895	0.0217246850627	  (0, 0)	1.5453716885	  (0, 0)	1.19039884212
genePA##,,oprD_10	0.00422924334185	0.0204222685185	  (0, 0)	2.45184734554	  (0, 0)	0.0688583457453
genePA##,,group_21979	0.00152546882818	0.00955982287358	  (0, 0)	0.382394367075	  (0, 0)	0.229086699407
genePA##,,group_5329	0.00110581525864	0.00804523605954	  (0, 0)	0.287007838331	  (0, 0)	0.434210851564
genePA##PA14_67200,,hcpC_2	0.00106543918996	0.00838861765849	  (0, 0)	1.41725802781	  (0, 0)	0.82791932896
genePA##PA14_69840,,comM	0.00102352000059	0.00896595918118	  (0, 0)	1.96039213855	  (0, 0)	0.945398565865
genePA##PA14_02300,fabG,group_11004	0.000941047295734	0.00915672825621	  (0, 0)	1.18796931389	  (0, 0)	0.576756543304
genePA##,,group_25020	0.000906013143855	0.0076656324664	  (0, 0)	0.352464766602	  (0, 0)	0.470562354637
genePA##PA14_10440,opdL,group_6089	0.000880843313812	0.00765177199419	  (0, 0)	2.08302337851	  (0, 0)	0.914370749975
genePA##PA14_53630,,group_11202	0.000839008302465	0.00822709532675	  (0, 0)	1.88602963437	  (0, 0)	0.862905658986
genePA##,,group_14361	0.000823933442139	0.00594627496352	  (0, 0)	0.257007400459	  (0, 0)	0.17918866829
genePA##PA14_59210,,group_673	0.000818954645051	0.00719734655366	  (0, 0)	0.682669480291	  (0, 0)	0.474995817532
genePA##,,group_6433	0.000789481662936	0.00652277681024	  (0, 0)	0.350950171237	  (0, 0)	0.300723721658
genePA##,,prpR_2	0.000783599826055	0.00759239260685	  (0, 0)	2.34291736996	  (0, 0)	0.762227924362
genePA##PA14_67220,,clsA	0.000770120184044	0.00857499486233	  (0, 0)	1.98747913797	  (0, 0)	0.878550819118
genePA##PA14_34660,gntR,gntR_3	0.000747013952548	0.00760246149601	  (0, 0)	2.35529342658	  (0, 0)	0.783725374391
genePA##PA14_69795,amtB,amtB_2	0.000735393129686	0.00773646316335	  (0, 0)	1.90200331357	  (0, 0)	0.959856984118
genePA##,,group_13721	0.00072958463377	0.00724957476172	  (0, 0)	0.405151717956	  (0, 0)	0.489372021841
genePA##,,group_18000	0.000728257191183	0.00653229658884	  (0, 0)	0.108963502745	  (0, 0)	0.242376689449
genePA##,,hcaE	0.000720905329709	0.00822533546044	  (0, 0)	2.28645618636	  (0, 0)	0.77544328777
genePA##PA14_34520,srpM,cmpB_1	0.00071504948941	0.00690236870184	  (0, 0)	2.35646232551	  (0, 0)	0.784599130509
genePA##PA14_40040,,group_2347	0.000705816702453	0.00716138375234	  (0, 0)	1.23741331952	  (0, 0)	0.859663336076
genePA##,,group_3017	0.000685701422258	0.00540085433698	  (0, 0)	0.31213124106	  (0, 0)	0.323890944942
genePA##,,group_779	0.000684317612496	0.00531959207045	  (0, 0)	0.109324942182	  (0, 0)	0.168019826297
genePA##,,wbjC	0.00067935390519	0.00729760922774	  (0, 0)	0.837504367414	  (0, 0)	0.487146146425
genePA##,,group_14413	0.000674727954204	0.0058762139087	  (0, 0)	0.0940497358952	  (0, 0)	0.244867455957
genePA##PA14_34540,,dmoA_2	0.000674236919515	0.00713187676238	  (0, 0)	2.37058641735	  (0, 0)	0.775031594926
genePA##,,group_1560	0.000672928570137	0.00557778128515	  (0, 0)	0.145185621088	  (0, 0)	0.286036937541
genePA##PA14_58570,piuA,group_8144	0.000672488261532	0.00768385701065	  (0, 0)	1.55534031208	  (0, 0)	0.792020790552
genePA##,,group_10568	0.000667736065972	0.00665884059138	  (0, 0)	1.27469579308	  (0, 0)	0.845889125901
genePA##,,pmfR	0.000658240202287	0.006121453191	  (0, 0)	2.16701468085	  (0, 0)	0.815582532332
genePA##,,group_13431	0.000655226026314	0.00607517242844	  (0, 0)	0.898568922576	  (0, 0)	0.510770277407
genePA##,,gbsA_2	0.000649681335409	0.00571386091489	  (0, 0)	0.337092147724	  (0, 0)	0.298524574709
genePA##,,group_8404	0.000645905064093	0.00605451164389	  (0, 0)	0.88668110013	  (0, 0)	0.407481031506
genePA##,,group_20682	0.000639292692419	0.00835468854796	  (0, 0)	0.837504367414	  (0, 0)	0.487146146425
genePA##,,group_1761	0.000637966214679	0.00633460819611	  (0, 0)	0.0613754981708	  (0, 0)	0.257632107434
genePA##,,group_8222	0.000637741026905	0.00641391416287	  (0, 0)	1.11981937424	  (0, 0)	0.67825724343
genePA##PA14_05400,,cheB_2	0.00063732191746	0.00722523316147	  (0, 0)	2.31997283594	  (0, 0)	0.845910799729
genePA##PA14_33510,,group_8078	0.000636900935482	0.00567323882327	  (0, 0)	2.39429419633	  (0, 0)	0.75174352817
genePA##,,fliC	0.000636330699997	0.00637585193863	  (0, 0)	2.27570319237	  (0, 0)	0.776845974204
genePA##,,fliD	0.0006319203573	0.00672523034891	  (0, 0)	2.27570319237	  (0, 0)	0.778742466282
genePA##,,group_10295	0.000626618953187	0.00678001305598	  (0, 0)	2.16680680248	  (0, 0)	0.808902653105
genePA##,,group_7720	0.000619430525625	0.00664140084949	  (0, 0)	1.48563325532	  (0, 0)	0.604274347253
genePA##,,group_2853	0.00060830610035	0.00517897812405	  (0, 0)	0.283591660793	  (0, 0)	0.243411611085
genePA##,,group_8423	0.00060605251129	0.00534800347447	  (0, 0)	0.894977198425	  (0, 0)	0.355935628715
genePA##PA14_64230,retS,barA_2	0.000601820009312	0.0066761989257	  (0, 0)	2.40330928001	  (0, 0)	0.785602559893
genePA##,,xylA	0.000599410955928	0.00619086530737	  (0, 0)	2.36048633949	  (0, 0)	0.77121753119
genePA##PA14_08560,tyrZ,tyrS_1	0.000594518974842	0.00721025486536	  (0, 0)	1.98243030023	  (0, 0)	0.80717862847
genePA##,,lmrA	0.000594348954622	0.00565213795111	  (0, 0)	1.70116715635	  (0, 0)	0.578800299942
genePA##,,actP_2	0.000590546914807	0.00644348753547	  (0, 0)	2.33371653901	  (0, 0)	0.76510199359
genePA##,,group_6217	0.000587802217029	0.00589711407197	  (0, 0)	0.819378027454	  (0, 0)	0.39112431852
genePA##,,group_3785	0.000586703190287	0.00583007692148	  (0, 0)	0.792358739303	  (0, 0)	0.354158179151
genePA##,,group_5777	0.000586064790851	0.00747962009149	  (0, 0)	1.44678645044	  (0, 0)	0.562825055298
genePA##,,group_12107	0.000585687305588	0.00515477896333	  (0, 0)	0.332323272839	  (0, 0)	0.241223315478
genePA##PA14_10350,,cvaA	0.000585288580055	0.00680708506167	  (0, 0)	2.24877558428	  (0, 0)	0.847399805875
genePA##,,group_4268	0.000584154762923	0.0048351716969	  (0, 0)	0.409783105739	  (0, 0)	0.205136414299
genePA##,,group_9601	0.000583909915835	0.00663243944044	  (0, 0)	2.3516550749	  (0, 0)	0.828454333579
genePA##,,group_9838	0.000583118595679	0.00559026173342	  (0, 0)	0.329649432567	  (0, 0)	0.239095093077
genePA##PA14_00490,,group_1864	0.000580615182342	0.00641212402789	  (0, 0)	1.32387702279	  (0, 0)	0.666326035217
