feature	score	std	#I-out-of-1	#O-out-of-368
snp_PA14_31070_2701486	0.008	0.0890842298053	1.0	0.0
snp_PA14_59540_5297162	0.00546840367901	0.0706077861888	1.0	0.0
snp_PA14_31070_2702207	0.004	0.0631189353522	1.0	0.0
snp_PA14_59660_5309122	0.004	0.0631189353522	1.0	0.0
snp_PA14_65760_5857334	0.004	0.0631189353522	1.0	0.0
snp_PA14_65760_5857536	0.00386218944099	0.0609832620462	1.0	0.0
gene_pa_nuoH_2	0.00378746594005	0.0598596052875	1.0	1.0
snp_PA14_33610_2964022	0.00371894409938	0.0588519656696	1.0	1.0
snp_PA14_31070_2701367	0.00371393442623	0.0587791825376	1.0	0.0
snp_PA14_31070_2701481	0.00363293179395	0.0573270832348	0.0	81.0
snp_PA14_31070_2702168	0.0035875	0.0566108914866	0.0	11.0
snp_PA14_33810,pvdA_3004071	0.0035652173913	0.0562581815096	0.0	131.0
snp_PA14_33650,pvdD_2981725	0.00350951086957	0.0553791474235	1.0	5.0
snp_PA14_59660_5309136	0.00350817438692	0.055901589451	1.0	0.0
snp_PA14_33630,pvdJ_2978338	0.00338920043784	0.0535942846382	1.0	8.0
snp_PA14_02390_215323	0.00329078308257	0.0521086616437	0.0	123.0
snp_PA14_30940,trbB_2687825	0.00321636671418	0.0511331860116	1.0	35.0
snp_PA14_58750,pilB_5235767	0.00320931384692	0.0506584097102	0.0	196.0
snp_PA14_33610_2958444	0.00320653950954	0.0521304795529	1.0	2.0
snp_PA14_71970,wbpW_6415272	0.00308838522045	0.0487504054305	0.0	308.0
snp_PA14_59540_5298656	0.00300819672131	0.0499918099984	1.0	0.0
snp_PA14_31070_2701517	0.00300544959128	0.0499643043888	1.0	0.0
snp_PA14_31070_2703207	0.00300115876073	0.0476269366995	1.0	12.0
snp_PA14_03380_311333	0.00286896524769	0.0456055684307	1.0	3.0
gene_pa_group_12544	0.00273732970027	0.0447851773848	1.0	4.0
snp_PA14_02410_217031	0.00272166149068	0.0444150655807	0.0	216.0
snp_PA14_31070_2702876	0.00264914489917	0.0442410602068	0.0	112.0
snp_PA14_33280,pvdL_2920134	0.00264799854067	0.0430021420091	1.0	13.0
snp_PA14_59540_5297169	0.00259615110478	0.0420958768145	1.0	4.0
snp_PA14_60130_5356436	0.00256497093616	0.033458422909	0.0	1.0
snp_PA14_31070_2701492	0.0024891813461	0.0393870710979	1.0	12.0
snp_PA14_59940_5339918	0.0022831202046	0.04306187951	1.0	5.0
snp_PA14_60000_5343665	0.00212316076294	0.0345591286154	1.0	3.0
snp_PA14_03300_299119	0.00209718225146	0.0390060822228	1.0	6.0
snp_PA14_30960,traG_2689999	0.00200725624926	0.0333818536816	1.0	17.0
snp_PA14_49480_4399320	0.002	0.0446766158074	1.0	0.0
snp_PA14_31380,sfpA_2729640	0.002	0.0446766158074	1.0	0.0
snp_PA14_65760_5857391	0.002	0.0446766158074	1.0	0.0
snp_PA14_43220_3850779	0.002	0.0446766158074	1.0	0.0
snp_PA14_65760_5857324	0.002	0.0446766158074	1.0	0.0
snp_PA14_65760_5857541	0.002	0.0446766158074	1.0	0.0
snp_PA14_30960,traG_2690199	0.002	0.0446766158074	0.0	7.0
snp_PA14_03400_312395	0.002	0.0446766158074	0.0	2.0
snp_PA14_30930,trbC_2686894	0.002	0.0446766158074	0.0	41.0
snp_PA14_59930_5336959	0.002	0.0446766158074	1.0	1.0
snp_PA14_30970,bphR_2691513	0.002	0.0446766158074	1.0	0.0
snp_PA14_59940_5337562	0.002	0.0446766158074	1.0	0.0
snp_PA14_65760_5857210	0.002	0.0446766158074	1.0	0.0
gene_pa_hisD_2	0.002	0.0446766158074	1.0	0.0
snp_PA14_03250_291581	0.002	0.0446766158074	0.0	1.0
snp_PA14_33360_2936558	0.002	0.0446766158074	1.0	0.0
snp_PA14_65760_5857540	0.002	0.0446766158074	1.0	0.0
gene_pa_group_19441	0.00197059701161	0.0314405935771	1.0	7.0
snp_PA14_21020_1812900	0.00195985671937	0.0437798828443	1.0	45.0
snp_PA14_30970,bphR_2691241	0.0019252173913	0.0430060988685	1.0	14.0
snp_PA14_60000_5343202	0.00191427865613	0.042761746034	1.0	68.0
snp_PA14_03380_310281	0.00190634531018	0.0282697428888	1.0	7.0
snp_PA14_12630_1083393	0.00188746803069	0.0421628420279	1.0	0.0
gene_pa_puuB_12	0.00185117056856	0.0413520181428	1.0	4.0
snp_PA14_31070_2703187	0.00185117056856	0.0413520181428	0.0	2.0
snp_PA14_33650,pvdD_2982970	0.00185117056856	0.0413520181428	1.0	62.0
snp_PA14_31070_2701642	0.00183831521739	0.0410648513501	1.0	4.0
snp_PA14_23360,wzz_2027536	0.00183831521739	0.0410648513501	1.0	12.0
snp_PA14_03285_297519	0.00183831521739	0.0410648513501	1.0	22.0
snp_PA14_38480,gnyA_3431986	0.00183831521739	0.0410648513501	0.0	184.0
snp_PA14_59690_5311312	0.00182312252964	0.0407254724133	1.0	14.0
snp_PA14_24330_2115295	0.00182312252964	0.0407254724133	1.0	23.0
snp_PA14_50300_4468744	0.00182312252964	0.0407254724133	1.0	5.0
snp_PA14_30950_2688243	0.00182312252964	0.0407254724133	1.0	26.0
gene_pa_group_21182	0.00181454162276	0.0405337894733	1.0	9.0
snp_PA14_28830_2488572	0.00180489130435	0.0403182176892	0.0	11.0
snp_PA14_33650,pvdD_2981620	0.00180489130435	0.0403182176892	1.0	4.0
snp_PA14_58570,piuA_5218906	0.00180489130435	0.0403182176892	0.0	165.0
snp_PA14_04710_418578	0.00180489130435	0.0403182176892	1.0	5.0
snp_PA14_59610_5304607	0.00180489130435	0.0403182176892	1.0	64.0
snp_PA14_40260_3591287	0.00180489130435	0.0403182176892	1.0	35.0
gene_pa_group_6943	0.00180489130435	0.0403182176892	0.0	90.0
snp_PA14_31070_2703194	0.00180489130435	0.0403182176892	0.0	7.0
snp_PA14_43220_3850881	0.00178260869565	0.0398204619153	1.0	0.0
snp_PA14_33650,pvdD_2983629	0.00178260869565	0.0398204619153	1.0	32.0
snp_PA14_59690_5312168	0.00178260869565	0.0398204619153	0.0	301.0
snp_PA14_33650,pvdD_2981818	0.00178260869565	0.0398204619153	1.0	39.0
snp_PA14_55400_4923147	0.00175475543478	0.0391982671978	1.0	59.0
snp_PA14_33280,pvdL_2919936	0.00175475543478	0.0391982671978	1.0	7.0
snp_PA14_33650,pvdD_2979058	0.00175475543478	0.0391982671978	0.0	1.0
snp_PA14_55400_4919391	0.00175475543478	0.0391982671978	1.0	14.0
snp_PA14_33610_2961991	0.00175475543478	0.0391982671978	0.0	126.0
snp_PA14_33650,pvdD_2983252	0.00175475543478	0.0391982671978	0.0	103.0
snp_PA14_01190_117595	0.00175475543478	0.0391982671978	1.0	76.0
snp_PA14_22670,yrbF_1972083	0.00175475543478	0.0391982671978	0.0	92.0
snp_PA14_01230_120400	0.00172833723653	0.0386081293511	1.0	23.0
snp_PA14_60300,pilX_5372799	0.00172362787077	0.0385029300886	1.0	65.0
snp_PA14_64530_5749313	0.00171894409938	0.0383983025612	0.0	52.0
snp_PA14_31180_2710164	0.00171894409938	0.0383983025612	0.0	21.0
snp_PA14_31070_2702880	0.00171894409938	0.0383983025612	1.0	8.0
snp_PA14_58570,piuA_5219067	0.00171894409938	0.0383983025612	1.0	72.0
gene_pa_group_3530	0.00171894409938	0.0383983025612	1.0	31.0
snp_PA14_30930,trbC_2686900	0.00171894409938	0.0383983025612	1.0	23.0
snp_PA14_55400_4923912	0.00171894409938	0.0383983025612	0.0	134.0
snp_PA14_31070_2703026	0.00171894409938	0.0383983025612	0.0	71.0
