feature	score	std	#I-out-of-1	#O-out-of-368
snp_PA14_67510,estA_6026984	0.00576434105966	0.0742392514132	1.0	0.0
snp_PA14_60700,ccpR_5409485	0.00575968142246	0.0655579403737	1.0	1.0
snp_PA14_15740,purL_1341979	0.00574833992095	0.0740410390871	1.0	0.0
snp_PA14_25910_2260544	0.00551428571429	0.0712775560396	1.0	0.0
snp_PA14_60870,morA_5429098	0.00502749188558	0.0623394953468	0.0	298.0
snp_PA14_63700_5678905	0.00455758928571	0.0613695831114	1.0	2.0
snp_PA14_14100,yhdW_1208509	0.00432962982551	0.0570786833415	1.0	1.0
snp_PA14_60130_5356212	0.00426837941298	0.0586935879298	1.0	54.0
gene_pa_group_17268	0.004225175753	0.0552976280439	1.0	4.0
snp_PA14_04090,fliY_368362	0.00385621463006	0.0608924953105	1.0	0.0
snp_PA14_30230,clpA_2617660	0.00383603838408	0.0605871544423	1.0	0.0
snp_PA14_55160,toxR_4900190	0.00380839778428	0.0601003370999	0.0	34.0
snp_PA14_02590,mdcE_231641	0.00375475543478	0.0593757958227	1.0	0.0
snp_PA14_31030_2698034	0.00374404898709	0.0590841914595	0.0	45.0
gene_pa_group_4877	0.00371894409938	0.0588519656696	1.0	0.0
snp_PA14_55150_4898601	0.00352383540373	0.0556217880214	0.0	345.0
snp_PA14_34320_3051703	0.0035064213819	0.05535452666	1.0	0.0
snp_PA14_73110_6510535	0.00339809782609	0.0539743878427	0.0	343.0
snp_PA14_55220_4904363	0.00339013975155	0.0535008300383	0.0	258.0
gene_pa_group_8228	0.00333695652174	0.053689767104	1.0	1.0
snp_PA14_48980_4352346	0.00331647680154	0.0523347252384	0.0	1.0
snp_PA14_15480,merR_1311420	0.00324982532812	0.0356408713904	1.0	21.0
snp_PA14_59110_5264359	0.00320869565217	0.0513335594803	1.0	76.0
gene_pa_proP_4	0.00314348787948	0.0501223043636	0.0	361.0
gene_pa_group_23743	0.00310415686851	0.0503327667447	0.0	60.0
gene_pa_group_6340	0.00305184854537	0.0473091950558	1.0	8.0
gene_pa_group_19425	0.00291051197476	0.0480793583861	0.0	347.0
snp_PA14_31280_2720535	0.00278125985106	0.0456464128475	1.0	16.0
snp_PA14_09200,ssb_780069	0.00269751870991	0.0428485528067	1.0	2.0
snp_PA14_06450,accC_566834	0.00268124402381	0.0457068799805	1.0	57.0
gene_pa_zraR_1	0.00260506997963	0.0427391730296	0.0	364.0
snp_PA14_73200_6519330	0.00260326975477	0.0422111029411	1.0	2.0
snp_PA14_31340_2725637	0.00250151601831	0.0410263789983	0.0	127.0
snp_PA14_15470,merP_1310717	0.00249981485905	0.043942107023	0.0	38.0
gene_pa_group_20714	0.00249908186234	0.0435785083588	1.0	3.0
gene_pa_group_2356	0.00247779757662	0.0431316596592	1.0	3.0
snp_PA14_24600_2149666	0.00245986716776	0.0446105956824	0.0	202.0
gene_pa_group_1478	0.00237695683993	0.0415632131628	1.0	57.0
gene_pa_lsrG_2	0.00237601902174	0.0434131731879	0.0	361.0
snp_PA14_33650,pvdD_2981745	0.00234604904632	0.0402891400499	0.0	12.0
gene_pa_group_738	0.00233302175665	0.0387227005947	1.0	5.0
gene_pa_group_3754	0.0023003516624	0.0398631970464	0.0	344.0
snp_PA14_58570,piuA_5219027	0.00217847411444	0.0344777023133	0.0	202.0
snp_PA14_48930_4350020	0.00217212859851	0.0418122010124	1.0	4.0
snp_PA14_20520_1764119	0.00215315503793	0.0418852894249	1.0	21.0
snp_PA14_15460,merA_1309589	0.00213457596751	0.0432503190051	1.0	63.0
snp_PA14_15460,merA_1309791	0.00211810077436	0.0337469170875	1.0	59.0
gene_pa_group_4554	0.00209511943633	0.043024172442	0.0	357.0
snp_PA14_15460,merA_1310099	0.0020767106201	0.034103250674	0.0	49.0
snp_PA14_59130_5265496	0.00202303129284	0.038981101362	1.0	104.0
snp_PA14_59990_5342049	0.00201994505983	0.0426301582065	0.0	2.0
snp_PA14_59380_5289542	0.00200725624926	0.0333818536816	0.0	0.0
snp_PA14_33680,fpvA_2988581	0.002	0.0446766158074	1.0	0.0
snp_PA14_21750_1893154	0.002	0.0446766158074	1.0	0.0
snp_PA14_55330_4912190	0.002	0.0446766158074	1.0	0.0
snp_PA14_01160_113410	0.002	0.0446766158074	1.0	0.0
snp_PA14_28520_2459826	0.002	0.0446766158074	1.0	0.0
snp_PA14_31000_2693419	0.00199654215087	0.0318788443375	0.0	36.0
snp_PA14_37650_3352647	0.00197594309463	0.044139225248	1.0	26.0
gene_pa_group_17909	0.00196185314272	0.0420341781076	1.0	20.0
gene_pa_group_15211	0.00195968487146	0.0360212311847	1.0	12.0
snp_PA14_48980_4352233	0.00193628185907	0.0432532603562	1.0	38.0
snp_PA14_00380,betC_33122	0.00192830267559	0.0430750188987	0.0	53.0
snp_PA14_55230_4905358	0.00191824196597	0.0428502796697	0.0	312.0
gene_pa_group_8	0.00191824196597	0.0428502796697	1.0	1.0
snp_PA14_33260,pvdS_2910503	0.00191427865613	0.042761746034	1.0	0.0
gene_pa_group_2700	0.00191427865613	0.042761746034	1.0	21.0
snp_PA14_55117_4896507	0.00191427865613	0.042761746034	0.0	320.0
snp_PA14_35830,tnpT_3188619	0.00191427865613	0.042761746034	0.0	5.0
snp_PA14_55117_4896826	0.00190516304348	0.0425581186719	0.0	40.0
snp_PA14_15460,merA_1309700	0.00190516304348	0.0425581186719	1.0	54.0
