feature	score	std	#I-out-of-7	#O-out-of-362
snp_PA14_59150_5266490	0.00281020187135	0.0290589423183	1.0	0.0
snp_PA14_32410,mexT_2819135	0.00279129635718	0.0288358130952	1.0	0.0
snp_PA14_08300,JF1_710883	0.0027466664427	0.0423550306357	2.0	1.0
snp_PA14_51540_4583545	0.0025733965357	0.0331411420642	1.0	0.0
snp_PA14_50290,fliC_4465726	0.00251337791181	0.034151004136	1.0	0.0
snp_PA14_59940_5339293	0.00242908969232	0.031522729637	2.0	1.0
snp_PA14_61040,katB_5443406	0.00240644063406	0.0314804649814	4.0	21.0
snp_PA14_51540_4583577	0.00217240342904	0.0291360017176	1.0	0.0
gene_pa_group_3677	0.00211705346127	0.0227679649468	1.0	0.0
snp_PA14_08300,JF1_710350	0.00204096147224	0.0235904020239	1.0	1.0
snp_PA14_31000_2693621	0.00192559907497	0.0196352886168	2.0	2.0
snp_PA14_31190_2710985	0.00189988558352	0.0424402291465	1.0	6.0
snp_PA14_01220_120080	0.00182335837734	0.0203931923578	1.0	0.0
snp_PA14_72000,rmd_6417592	0.00179603817609	0.0243191119269	1.0	0.0
snp_PA14_24400_2125284	0.00176940853302	0.0242137942964	2.0	2.0
snp_PA14_37790,pcoA_3369647	0.00173916324922	0.0170376110847	1.0	7.0
gene_pa_group_15378	0.00172098092643	0.0309457574967	2.0	0.0
snp_PA14_37840_3374919	0.00171894409938	0.0383983025612	6.0	291.0
snp_PA14_52900_4689552	0.00166208791209	0.0371282315432	2.0	2.0
snp_PA14_32410,mexT_2818982	0.00163491855651	0.0217089373035	1.0	0.0
snp_PA14_33650,pvdD_2984293	0.0016328444105	0.0211755029436	3.0	14.0
snp_PA14_08600,23S-rRNA_737398	0.00162978868092	0.0186827281049	1.0	0.0
snp_PA14_59600_5304072	0.00162212361127	0.0183949271145	1.0	0.0
gene_pa_group_3361	0.00161346385894	0.0176660121514	1.0	2.0
snp_PA14_61200_5461514	0.00160772001133	0.022499521306	0.0	13.0
snp_PA14_25540,ptpA_2231799	0.00159635706759	0.0302186207261	2.0	2.0
snp_PA14_50300_4467331	0.00155099904629	0.0249067184482	0.0	2.0
snp_PA14_33630,pvdJ_2977900	0.00154397641488	0.0238505411308	1.0	1.0
snp_PA14_33630,pvdJ_2976510	0.00153749183962	0.0167491303872	1.0	2.0
gene_pa_group_16358	0.0015275105267	0.0276698399144	2.0	0.0
snp_PA14_65540,fimX_5838380	0.00150677352415	0.0195038604178	1.0	0.0
snp_PA14_66790,hslU_5965362	0.00149161132401	0.0175169459401	1.0	0.0
snp_PA14_33610_2968634	0.00145143820012	0.0234278884646	1.0	1.0
snp_PA14_12820_1101279	0.00144434614829	0.0195364964835	1.0	0.0
snp_PA14_21490_1863616	0.00144388745374	0.0190811908374	2.0	14.0
snp_PA14_52910_4690792	0.00144258701999	0.0228578396579	1.0	0.0
snp_PA14_38990_3474271	0.00143397847112	0.019987178635	1.0	0.0
snp_PA14_33690,pvdE_2989703	0.00142987386012	0.019993333134	1.0	0.0
snp_PA14_59540_5297431	0.00142553676865	0.0299268682876	1.0	27.0
snp_PA14_30980_2692258	0.00142390545696	0.0196818999351	1.0	0.0
gene_pa_group_19724	0.00142040250903	0.0241500045574	2.0	2.0
gene_pa_group_16211	0.00138198508063	0.0220467795565	2.0	1.0
gene_pa_group_11268	0.00137626773738	0.0216125908916	3.0	9.0
snp_PA14_48910_4348413	0.00133695652174	0.0298653464365	1.0	61.0
snp_PA14_33610_2961023	0.00132602739726	0.0296212082887	1.0	1.0
snp_PA14_20560,amiE_1768965	0.00132602739726	0.0296212082887	2.0	2.0
snp_PA14_01770_163240	0.00132374309847	0.0189490994232	1.0	0.0
snp_PA14_33610_2970354	0.00132231404959	0.029538258385	1.0	0.0
snp_PA14_59540_5299268	0.00126134154696	0.0157287543451	1.0	2.0
snp_PA14_01730_159145	0.00126085186479	0.0201830007773	2.0	2.0
snp_PA14_32650_2836095	0.00125873393512	0.0164084963356	2.0	2.0
snp_PA14_52910_4690375	0.00125326968114	0.0209762624487	0.0	2.0
snp_PA14_17720_1522895	0.00124648342821	0.0229517560132	1.0	0.0
snp_PA14_31280_2720024	0.00123338801731	0.0183824541029	1.0	1.0
snp_PA14_63450_5658264	0.00122896302592	0.0226781657375	1.0	0.0
snp_PA14_20520_1765853	0.00122820544168	0.0140556664064	1.0	1.0
snp_PA14_61040,katB_5443227	0.00122642235854	0.0163457465401	2.0	0.0
snp_PA14_67230_6003663	0.00122304398599	0.0193586070537	2.0	0.0
snp_PA14_11940_1033334	0.00122119621813	0.0195091694902	2.0	2.0
snp_PA14_35810_3187031	0.00119344262295	0.0266594887769	2.0	1.0
snp_PA14_59440_5292080	0.00119336346456	0.0211986562528	1.0	23.0
snp_PA14_12230,leuS_1056910	0.00117558271514	0.0187653327975	3.0	16.0
gene_pa_group_13863	0.00116973067716	0.0224512190585	2.0	0.0
snp_PA14_64280_5729411	0.00116960331435	0.0228457361234	2.0	2.0
snp_PA14_60130_5356448	0.00115319009853	0.0184182599372	0.0	1.0
snp_PA14_30880,trbL_2682574	0.00113595816118	0.0176161685121	2.0	28.0
snp_PA14_60310,pilY1_5376263	0.0011246926814	0.0162794466496	1.0	9.0
snp_PA14_58720_5232799	0.00111877073882	0.0159374273561	1.0	2.0
snp_PA14_59940_5337407	0.00111679583412	0.024947329208	2.0	3.0
snp_PA14_08070,gpFI_695063	0.00111172059984	0.0195770837514	2.0	5.0
gene_pa_dppA_4	0.0010989010989	0.024547591103	6.0	359.0
snp_PA14_59920_5336557	0.00109301974086	0.0197037846732	1.0	0.0
snp_PA14_33690,pvdE_2989704	0.00108955092553	0.0152660463118	1.0	0.0
snp_PA14_60020_5344644	0.00107881668608	0.0170679716561	1.0	3.0
gene_pa_group_23907	0.00107859707357	0.0181621026398	2.0	0.0
snp_PA14_33690,pvdE_2989695	0.00106247005172	0.0187652232525	1.0	0.0
snp_PA14_33690,pvdE_2989659	0.00106218390897	0.0133581401923	1.0	14.0
snp_PA14_73360,gidB_6530203	0.00105596438914	0.0140615908331	1.0	0.0
snp_PA14_58210_5180709	0.0010549632186	0.0235660932041	2.0	2.0
snp_PA14_34770_3088063	0.0010549632186	0.0235660932041	2.0	2.0
snp_PA14_17730_1523903	0.0010549632186	0.0235660932041	2.0	1.0
snp_PA14_73140_6513444	0.00105435907863	0.013212697779	1.0	3.0
snp_PA14_31050_2700280	0.00105068119891	0.0171128864731	1.0	0.0
snp_PA14_17720_1522893	0.00105068119891	0.0171128864731	1.0	0.0
snp_PA14_58910_5251913	0.00104404443614	0.0146077299367	1.0	0.0
snp_PA14_31060_2701090	0.00103401098901	0.0230980558483	0.0	77.0
gene_pa_group_1555	0.00103260889248	0.0155469979898	1.0	37.0
gene_pa_group_8766	0.00103173483436	0.0164418301939	1.0	0.0
snp_PA14_08160,lys_701252	0.00102879748823	0.021410048953	0.0	1.0
snp_PA14_63440_5657615	0.00102506947844	0.0159051116611	1.0	1.0
snp_PA14_60020_5344974	0.00101059733717	0.0134288990803	4.0	77.0
snp_PA14_30980_2692140	0.00100819672131	0.0225214087881	1.0	0.0
snp_PA14_60000_5344044	0.00100544959128	0.0224600425517	2.0	6.0
snp_PA14_60130_5356316	0.000997282608696	0.02227760598	1.0	1.0
snp_PA14_31010_2695108	0.000997282608696	0.02227760598	1.0	0.0
snp_PA14_27450_2383288	0.000994648273579	0.0132907857769	2.0	0.0
snp_PA14_30570,potF_2646692	0.000994550408719	0.0222165732557	2.0	2.0
snp_PA14_40260_3590767	0.000994550408719	0.0222165732557	2.0	2.0
snp_PA14_27850,queF_2413222	0.000994550408719	0.0222165732557	2.0	2.0
snp_PA14_08050_692346	0.000994550408719	0.0222165732557	2.0	0.0
