feature	score	avg I	avg O
snp_PA14_03050,pobA_269800	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58720_5232799	12.0333333333	0.11(+/-)0.31	0.01(+/-)0.07
snp_PA14_43430_3869130	6.48	0.11(+/-)0.31	0.01(+/-)0.1
gene_pa_group_2663	5.22236842105	0.22(+/-)0.42	0.05(+/-)0.21
snp_PA14_42600,pscP_3789671	5.10416666667	0.11(+/-)0.31	0.01(+/-)0.12
snp_PA14_31070_2703506	2.075	0.0(+/-)0.0	0.23(+/-)0.42
snp_PA14_31100_2705167	1.5007751938	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_11050,moaF_955769	1.325	0.0(+/-)0.0	0.15(+/-)0.35
snp_PA14_28895_2499616	0.55	0.0(+/-)0.0	0.06(+/-)0.24
snp_PA14_33630,pvdJ_2972828	0.45	0.0(+/-)0.0	0.05(+/-)0.22
snp_PA14_03200_282769	0.425	0.0(+/-)0.0	0.05(+/-)0.21
snp_PA14_35630,pslJ_3166320	0.35	0.0(+/-)0.0	0.04(+/-)0.19
snp_PA14_59350,pilV2_5287193	0.3	0.0(+/-)0.0	0.03(+/-)0.18
snp_PA14_27500,yfbQ_2387668	0.1	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_52490_4656984	0.1	0.0(+/-)0.0	0.01(+/-)0.1
snp_PA14_10400_898102	0.075	0.0(+/-)0.0	0.01(+/-)0.09
gene_pa_group_13620	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_22330_1944921	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_39210,nadR_3492246	0.0442634560907	0.89(+/-)0.31	0.96(+/-)0.2
snp_PA14_39640,cobN_3531505	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_38950_3470364	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_66400,aefA_5921196	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_09340,fptA_800518	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_11060,cupB1_957367	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_30650,gacA_2655555	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_58090_5169646	40.0	0.11(+/-)0.31	0.0(+/-)0.0
gene_pa_group_16413	29.645	0.22(+/-)0.42	0.01(+/-)0.09
snp_PA14_14170_1212705	5.10416666667	0.11(+/-)0.31	0.01(+/-)0.12
snp_PA14_15590_1322191	2.4025	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_32600_2831893	1.75208333333	0.11(+/-)0.31	0.03(+/-)0.17
snp_PA14_59690_5311287	0.316901408451	0.11(+/-)0.31	0.19(+/-)0.4
snp_PA14_22680,yrbE_1972546	0.2	0.0(+/-)0.0	0.02(+/-)0.15
snp_PA14_51360,phnA_4565450	0.175	0.0(+/-)0.0	0.02(+/-)0.14
snp_PA14_22350,actP_1945997	0.15	0.0(+/-)0.0	0.02(+/-)0.13
snp_PA14_33280,pvdL_2913245	0.075	0.0(+/-)0.0	0.01(+/-)0.09
snp_PA14_28895_2500021	nan	0.0(+/-)0.0	0.0(+/-)0.0
snp_PA14_32790_2860275	1.725	0.0(+/-)0.0	0.19(+/-)0.39
snp_PA14_73020_6502803	0.475	0.0(+/-)0.0	0.05(+/-)0.22
snp_PA14_57540_5126397	0.124137931034	0.11(+/-)0.31	0.08(+/-)0.27
snp_PA14_00820_80110	0.111744186047	0.67(+/-)0.47	0.58(+/-)0.49
snp_PA14_59940_5338341	0.0694444444444	0.0(+/-)0.0	0.01(+/-)0.07
genexp_PA14_26550	0.0681896572035	5.86(+/-)0.52	6.08(+/-)0.49
snp_PA14_22060_1918791	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_44510_3964142	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_67020_5982809	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_58260_5188888	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_61180_5456476	0.05	0.0(+/-)0.0	0.01(+/-)0.07
snp_PA14_34130_3036049	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_46710_4163337	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_70270,algC_6264243	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_67560,typA_6035490	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_20050,hasF_1729318	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_30860,trbG_2679912	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_04630,ilvD_410975	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_56680,feoB_5050031	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_02990_262285	0.025	0.0(+/-)0.0	0.0(+/-)0.05
snp_PA14_14310_1221243	0.025	0.0(+/-)0.0	0.0(+/-)0.05
