feature	score	std	#I-out-of-1	#O-out-of-368
gene_pa_group_13019	0.00580489130435	0.0748005317307	0.0	368.0
snp_PA14_59190_5270623	0.00580489130435	0.0748005317307	0.0	1.0
snp_PA14_53580_4751701	0.00419872201161	0.0558158770225	1.0	1.0
snp_PA14_53580_4751837	0.00394466403162	0.0622518973495	1.0	0.0
snp_PA14_01770_163210	0.00392830267559	0.0619979357916	1.0	0.0
snp_PA14_30850,trbI_2679571	0.0039099378882	0.0617142103093	1.0	0.0
snp_PA14_59200_5271109	0.0035875	0.0566108914866	1.0	2.0
snp_PA14_63440_5657471	0.0034844341764	0.0551452694983	1.0	5.0
snp_PA14_33650,pvdD_2980647	0.00344266304348	0.0544501190444	1.0	29.0
snp_PA14_30540_2643543	0.00319344262295	0.0519803286961	1.0	1.0
snp_PA14_63740_5682860	0.00313459157683	0.0500304112837	1.0	1.0
snp_PA14_58730,pilA_5233865	0.00309171195652	0.0492316057593	1.0	2.0
gene_pa_group_23372	0.00305954355442	0.0486479912336	1.0	14.0
snp_PA14_33630,pvdJ_2978081	0.00300038925652	0.0473883623484	0.0	12.0
snp_PA14_53580_4751801	0.0029972826087	0.0498828888274	1.0	1.0
snp_PA14_65870_5869230	0.0029972826087	0.0498828888274	1.0	1.0
snp_PA14_33610_2970589	0.00296129494432	0.0475256019871	0.0	136.0
snp_PA14_71970,wbpW_6415026	0.00287271311794	0.0453306483943	1.0	65.0
snp_PA14_23420_2034835	0.00283286562611	0.0466502041725	1.0	4.0
snp_PA14_63440_5657480	0.00280342448001	0.0442846623337	1.0	3.0
snp_PA14_48890_4347443	0.00279944171307	0.0459950507565	1.0	2.0
snp_PA14_59640_5307345	0.00279650819309	0.0459137473368	0.0	12.0
gene_pa_group_17885	0.00273760217984	0.0392380433298	1.0	8.0
snp_PA14_59200_5271719	0.00272029072186	0.0461943170654	1.0	1.0
snp_PA14_63440_5657565	0.00266847826087	0.0434351583225	1.0	1.0
snp_PA14_33630,pvdJ_2974258	0.0026125445474	0.042289134526	1.0	31.0
snp_PA14_40010_3565011	0.00255858310627	0.0413656626894	1.0	1.0
snp_PA14_55400_4925277	0.00252640229516	0.0409852906803	1.0	67.0
snp_PA14_58730,pilA_5233933	0.00247511264444	0.039156692904	1.0	3.0
gene_pa_cas5	0.00243314042515	0.0384012733538	1.0	2.0
snp_PA14_48890_4346604	0.00235749318801	0.0391450014731	1.0	4.0
snp_PA14_03200_282717	0.00221905718336	0.041348020305	1.0	40.0
snp_PA14_55400_4929750	0.00217437581448	0.0367565693428	0.0	146.0
snp_PA14_55400_4929171	0.00201089918256	0.0334546050083	1.0	28.0
snp_PA14_51450,cupC3_4574860	0.00200816698258	0.0316883699342	1.0	181.0
snp_PA14_33810,pvdA_3004714	0.00200725624926	0.0333818536816	0.0	136.0
snp_PA14_54410,mucB_4824937	0.002	0.0446766158074	1.0	0.0
gene_pa_group_17762	0.002	0.0446766158074	1.0	1.0
snp_PA14_53640_4757841	0.002	0.0446766158074	1.0	0.0
snp_PA14_59190_5270598	0.002	0.0446766158074	1.0	0.0
snp_PA14_49520,pyoS3A_4403403	0.002	0.0446766158074	1.0	4.0
snp_PA14_59640_5307460	0.002	0.0446766158074	1.0	2.0
snp_PA14_23380,orfH_2029505	0.002	0.0446766158074	1.0	1.0
gene_pa_group_12771	0.002	0.0446766158074	1.0	2.0
snp_PA14_33360_2936389	0.002	0.0446766158074	1.0	1.0
gene_pa_group_14527	0.002	0.0446766158074	1.0	1.0
snp_PA14_23420_2034210	0.002	0.0446766158074	1.0	0.0
snp_PA14_59850_5332047	0.002	0.0446766158074	1.0	1.0
snp_PA14_51620_4588048	0.002	0.0446766158074	1.0	1.0
snp_PA14_54050_4794187	0.002	0.0446766158074	1.0	2.0
snp_PA14_48940,coaB_4350979	0.002	0.0446766158074	1.0	1.0
snp_PA14_45960,lasR_4085455	0.002	0.0446766158074	1.0	0.0
gene_pa_group_15111	0.002	0.0446766158074	1.0	2.0
gene_pa_group_21449	0.002	0.0446766158074	1.0	1.0
snp_PA14_59670_5309496	0.002	0.0333097537899	0.0	1.0
gene_pa_group_14230	0.00199456521739	0.0314737082531	1.0	1.0
snp_PA14_59640_5307396	0.00199274375074	0.0331646454329	1.0	2.0
gene_pa_group_12834	0.00199274375074	0.0331646454329	1.0	1.0
snp_PA14_43380,kdpB_3864748	0.00198690311341	0.031984287363	1.0	1.0
snp_PA14_33610_2969560	0.00194004338941	0.0349627289228	1.0	8.0
snp_PA14_33610_2971833	0.0019252173913	0.0430060988685	1.0	30.0
snp_PA14_23350,orfA_2026583	0.00192332912989	0.0429639183035	1.0	3.0
